scenario,policy,seed,status,totalScore,swaps,rerolls,coinsEarned,coinsSpent,coinsEnding,bestWaveCount,shuffles,cappedResolutions
baseline,random,1,lost,1027,14,0,3,0,3,5,0,0
baseline,random,2,won,1488,16,0,1,0,1,5,0,0
baseline,random,3,lost,531,15,0,3,0,3,4,0,0
baseline,random,4,won,1422,16,0,3,0,3,4,0,0
baseline,random,5,lost,1541,26,0,4,0,4,6,0,0
baseline,random,6,lost,919,20,0,7,0,7,3,1,0
baseline,random,7,lost,1251,22,0,4,0,4,4,0,0
baseline,random,8,lost,223,10,0,2,0,2,1,0,0
baseline,random,9,lost,194,10,0,1,0,1,1,0,0
baseline,random,10,won,1552,25,0,1,0,1,6,0,0
baseline,random,11,lost,1279,19,0,6,0,6,5,0,0
baseline,random,12,lost,742,18,0,5,0,5,4,1,0
baseline,random,13,lost,582,19,0,2,0,2,2,0,0
baseline,random,14,lost,1226,24,0,5,0,5,3,0,0
baseline,random,15,won,1791,15,0,6,0,6,5,0,0
baseline,random,16,lost,666,13,0,0,0,0,4,0,0
baseline,random,17,lost,638,17,0,2,0,2,3,1,0
baseline,random,18,lost,895,20,0,1,0,1,3,0,0
baseline,random,19,won,1460,24,0,5,0,5,4,0,0
baseline,random,20,lost,589,16,0,2,0,2,2,0,0
baseline,random,21,won,1530,18,0,3,0,3,5,0,0
baseline,random,22,lost,663,20,0,2,0,2,3,0,0
baseline,random,23,lost,1864,23,0,5,0,5,4,1,0
baseline,random,24,lost,1072,22,0,5,0,5,5,0,0
baseline,random,25,lost,1251,22,0,7,0,7,4,1,0
baseline,random,26,lost,1377,17,0,5,0,5,5,0,0
baseline,random,27,lost,629,18,0,1,0,1,3,0,0
baseline,random,28,lost,683,18,0,4,0,4,4,0,0
baseline,random,29,lost,1033,20,0,10,0,10,4,0,0
baseline,random,30,won,1597,20,0,4,0,4,5,0,0
baseline,random,31,lost,199,10,0,0,0,0,2,1,0
baseline,random,32,lost,228,10,0,0,0,0,1,0,0
baseline,random,33,won,1440,12,0,6,0,6,5,0,0
baseline,random,34,lost,613,19,0,1,0,1,3,0,0
baseline,random,35,lost,548,14,0,0,0,0,3,0,0
baseline,random,36,lost,1002,19,0,5,0,5,4,0,0
baseline,random,37,won,1799,13,0,7,0,7,4,0,0
baseline,random,38,lost,631,15,0,0,0,0,2,0,0
baseline,random,39,lost,234,10,0,5,0,5,3,0,0
baseline,random,40,lost,1354,24,0,0,0,0,4,0,0
baseline,random,41,lost,407,17,0,3,0,3,2,1,0
baseline,random,42,lost,1181,29,0,5,0,5,4,0,0
baseline,random,43,lost,204,10,0,0,0,0,2,0,0
baseline,random,44,lost,1263,23,0,5,0,5,4,0,0
baseline,random,45,lost,508,16,0,3,0,3,4,0,0
baseline,random,46,lost,1285,25,0,4,0,4,4,0,0
baseline,random,47,lost,578,14,0,2,0,2,4,0,0
baseline,random,48,lost,572,16,0,2,0,2,2,0,0
baseline,random,49,lost,807,16,0,0,0,0,3,0,0
baseline,random,50,lost,822,19,0,3,0,3,4,0,0
baseline,random,51,lost,1436,24,0,5,0,5,3,0,0
baseline,random,52,lost,1513,29,0,5,0,5,6,0,0
baseline,random,53,lost,1671,23,0,2,0,2,6,0,0
baseline,random,54,won,2018,23,0,3,0,3,6,0,0
baseline,random,55,lost,1141,20,0,4,0,4,3,0,0
baseline,random,56,lost,177,10,0,0,0,0,1,0,0
baseline,random,57,lost,759,14,0,4,0,4,5,0,0
baseline,random,58,won,1754,24,0,8,0,8,4,0,0
baseline,random,59,lost,575,17,0,1,0,1,2,1,0
baseline,random,60,lost,1057,23,0,2,0,2,4,0,0
baseline,random,61,lost,604,17,0,1,0,1,3,0,0
baseline,random,62,won,1478,25,0,7,0,7,5,0,0
baseline,random,63,lost,592,14,0,2,0,2,2,0,0
baseline,random,64,lost,850,19,0,5,0,5,5,1,0
baseline,random,65,lost,1337,20,0,3,0,3,4,1,0
baseline,random,66,won,1537,19,0,4,0,4,4,1,0
baseline,random,67,lost,566,18,0,5,0,5,3,0,0
baseline,random,68,lost,628,15,0,3,0,3,2,0,0
baseline,random,69,lost,514,19,0,1,0,1,3,0,0
baseline,random,70,lost,210,10,0,0,0,0,2,0,0
baseline,random,71,lost,958,22,0,1,0,1,4,1,0
baseline,random,72,lost,819,18,0,2,0,2,4,0,0
baseline,random,73,lost,256,10,0,3,0,3,3,0,0
baseline,random,74,lost,215,10,0,2,0,2,2,1,0
baseline,random,75,lost,1136,25,0,5,0,5,3,1,0
baseline,random,76,lost,980,20,0,5,0,5,5,0,0
baseline,random,77,lost,187,10,0,2,0,2,2,0,0
baseline,random,78,lost,1352,23,0,4,0,4,5,1,0
baseline,random,79,lost,935,13,0,3,0,3,6,0,0
baseline,random,80,lost,1076,24,0,5,0,5,6,0,0
baseline,random,81,lost,592,17,0,6,0,6,3,0,0
baseline,random,82,lost,237,10,0,2,0,2,3,0,0
baseline,random,83,lost,198,10,0,1,0,1,2,0,0
baseline,random,84,lost,255,10,0,0,0,0,3,0,0
baseline,random,85,lost,1196,23,0,1,0,1,5,0,0
baseline,random,86,lost,815,20,0,2,0,2,4,0,0
baseline,random,87,lost,613,20,0,2,0,2,3,0,0
baseline,random,88,lost,612,20,0,1,0,1,3,0,0
baseline,random,89,lost,1093,25,0,2,0,2,4,0,0
baseline,random,90,lost,1148,22,0,7,0,7,4,1,0
baseline,random,91,lost,1647,20,0,7,0,7,5,0,0
baseline,random,92,lost,613,15,0,2,0,2,3,0,0
baseline,random,93,lost,622,16,0,4,0,4,3,0,0
baseline,random,94,lost,806,17,0,0,0,0,5,0,0
baseline,random,95,lost,1254,27,0,5,0,5,4,0,0
baseline,random,96,lost,1409,30,0,2,0,2,4,1,0
baseline,random,97,lost,1113,13,0,4,0,4,4,0,0
baseline,random,98,lost,644,16,0,1,0,1,5,0,0
baseline,random,99,lost,870,19,0,6,0,6,4,0,0
baseline,random,100,lost,391,16,0,2,0,2,4,0,0
baseline,random,101,lost,187,10,0,0,0,0,2,0,0
baseline,random,102,lost,194,10,0,5,0,5,2,0,0
baseline,random,103,lost,1261,22,0,6,0,6,5,0,0
baseline,random,104,won,2193,17,0,2,0,2,5,0,0
baseline,random,105,lost,646,19,0,2,0,2,3,0,0
baseline,random,106,lost,124,10,0,0,0,0,1,0,0
baseline,random,107,lost,960,18,0,1,0,1,4,0,0
baseline,random,108,lost,1327,20,0,6,0,6,4,0,0
baseline,random,109,lost,610,12,0,2,0,2,5,0,0
baseline,random,110,lost,1273,24,0,6,0,6,4,1,0
baseline,random,111,lost,704,20,0,5,0,5,3,2,0
baseline,random,112,lost,508,20,0,2,0,2,2,0,0
baseline,random,113,lost,698,19,0,2,0,2,3,0,0
baseline,random,114,lost,1107,21,0,2,0,2,4,0,0
baseline,random,115,lost,769,18,0,1,0,1,3,0,0
baseline,random,116,lost,730,19,0,4,0,4,3,0,0
baseline,random,117,lost,1349,22,0,5,0,5,4,0,0
baseline,random,118,won,1406,17,0,2,0,2,4,0,0
baseline,random,119,won,1415,26,0,5,0,5,4,0,0
baseline,random,120,lost,1207,23,0,5,0,5,5,0,0
baseline,random,121,lost,588,17,0,3,0,3,3,0,0
baseline,random,122,lost,677,16,0,0,0,0,4,0,0
baseline,random,123,lost,141,10,0,0,0,0,2,0,0
baseline,random,124,lost,1046,15,0,1,0,1,4,0,0
baseline,random,125,lost,589,15,0,0,0,0,4,0,0
baseline,random,126,lost,685,15,0,0,0,0,3,0,0
baseline,random,127,lost,969,27,0,2,0,2,4,0,0
baseline,random,128,lost,620,19,0,1,0,1,4,0,0
baseline,random,129,won,2409,10,0,4,0,4,6,0,0
baseline,random,130,lost,243,10,0,2,0,2,2,0,0
baseline,random,131,lost,518,14,0,2,0,2,2,0,0
baseline,random,132,lost,1275,15,0,3,0,3,4,1,0
