scenario,policy,seed,status,totalScore,swaps,rerolls,coinsEarned,coinsSpent,coinsEnding,bestWaveCount,shuffles,cappedResolutions
baseline,greedy,1,lost,541,15,0,1,0,1,2,0,0
baseline,greedy,2,won,1844,23,0,6,0,6,6,0,0
baseline,greedy,3,lost,1334,19,0,2,0,2,4,0,0
baseline,greedy,4,lost,1191,26,0,2,0,2,4,0,0
baseline,greedy,5,lost,1173,26,0,4,0,4,3,0,0
baseline,greedy,6,lost,1446,26,0,5,0,5,4,0,0
baseline,greedy,7,won,1400,20,0,5,0,5,4,0,0
baseline,greedy,8,lost,590,19,0,4,0,4,2,0,0
baseline,greedy,9,lost,578,17,0,1,0,1,3,0,0
baseline,greedy,10,won,1443,17,0,3,0,3,5,0,0
baseline,greedy,11,won,2140,22,0,12,0,12,7,0,0
baseline,greedy,12,lost,1137,24,0,5,0,5,4,1,0
baseline,greedy,13,lost,653,18,0,8,0,8,2,0,0
baseline,greedy,14,lost,567,16,0,5,0,5,3,0,0
baseline,greedy,15,lost,559,14,0,7,0,7,3,0,0
baseline,greedy,16,won,1341,28,0,5,0,5,3,0,0
baseline,greedy,17,won,1429,23,0,5,0,5,4,0,0
baseline,greedy,18,lost,1131,25,0,4,0,4,3,0,0
baseline,greedy,19,lost,1406,27,0,5,0,5,4,0,0
baseline,greedy,20,lost,1188,22,0,5,0,5,2,0,0
baseline,greedy,21,won,1771,19,0,4,0,4,7,0,0
baseline,greedy,22,lost,209,10,0,0,0,0,3,0,0
baseline,greedy,23,won,1757,20,0,1,0,1,4,2,0
baseline,greedy,24,lost,1470,25,0,8,0,8,5,1,0
baseline,greedy,25,lost,977,19,0,5,0,5,4,0,0
baseline,greedy,26,lost,1501,16,0,7,0,7,5,1,0
baseline,greedy,27,lost,752,19,0,1,0,1,3,0,0
baseline,greedy,28,lost,247,10,0,1,0,1,2,0,0
baseline,greedy,29,lost,1172,22,0,5,0,5,5,1,0
baseline,greedy,30,lost,1172,24,0,5,0,5,4,0,0
baseline,greedy,31,lost,1124,25,0,4,0,4,3,0,0
baseline,greedy,32,lost,1142,24,0,10,0,10,4,0,0
baseline,greedy,33,lost,2107,19,0,4,0,4,8,0,0
baseline,greedy,34,lost,714,15,0,6,0,6,4,0,0
baseline,greedy,35,lost,710,13,0,1,0,1,3,0,0
baseline,greedy,36,lost,1308,16,0,8,0,8,4,0,0
baseline,greedy,37,lost,1088,24,0,2,0,2,4,0,0
baseline,greedy,38,lost,1552,23,0,3,0,3,4,0,0
baseline,greedy,39,won,1719,24,0,6,0,6,5,0,0
baseline,greedy,40,lost,515,16,0,1,0,1,2,0,0
baseline,greedy,41,lost,630,17,0,3,0,3,3,1,0
baseline,greedy,42,won,1417,21,0,6,0,6,4,0,0
baseline,greedy,43,lost,638,15,0,0,0,0,3,0,0
baseline,greedy,44,lost,1481,22,0,7,0,7,4,1,0
baseline,greedy,45,lost,1360,26,0,8,0,8,4,0,0
baseline,greedy,46,lost,1319,22,0,7,0,7,4,1,0
baseline,greedy,47,lost,596,16,0,4,0,4,2,1,0
baseline,greedy,48,lost,726,18,0,3,0,3,3,0,0
baseline,greedy,49,won,1564,14,0,4,0,4,5,1,0
baseline,greedy,50,lost,672,13,0,3,0,3,3,0,0
baseline,spender,1,lost,541,15,0,1,0,1,2,0,0
baseline,spender,2,lost,1416,24,2,6,6,0,3,0,0
baseline,spender,3,lost,1334,19,0,2,0,2,4,0,0
baseline,spender,4,lost,1191,26,0,2,0,2,4,0,0
baseline,spender,5,lost,1124,26,1,6,3,3,3,0,0
baseline,spender,6,lost,1368,24,1,5,3,2,4,0,0
baseline,spender,7,won,1435,19,2,6,6,0,4,0,0
baseline,spender,8,lost,664,20,2,7,6,1,3,0,0
baseline,spender,9,lost,578,17,0,1,0,1,3,0,0
baseline,spender,10,won,1443,17,0,3,0,3,5,0,0
baseline,spender,11,won,2141,20,2,8,6,2,7,0,0
baseline,spender,12,lost,576,16,1,4,3,1,3,0,0
baseline,spender,13,lost,683,18,1,3,3,0,2,0,0
baseline,spender,14,lost,1086,18,3,9,9,0,3,0,0
baseline,spender,15,lost,575,14,2,6,6,0,3,0,0
baseline,spender,16,won,1554,21,1,6,3,3,4,0,0
baseline,spender,17,won,1502,21,2,7,6,1,4,0,0
baseline,spender,18,lost,1412,25,1,3,3,0,4,0,0
baseline,spender,19,won,1591,19,1,6,3,3,4,0,0
baseline,spender,20,lost,1051,22,1,5,3,2,2,0,0
baseline,spender,21,won,1839,21,1,3,3,0,7,0,0
baseline,spender,22,lost,209,10,0,0,0,0,3,0,0
baseline,spender,23,won,1757,20,0,1,0,1,4,2,0
baseline,spender,24,lost,1254,25,1,5,3,2,5,1,0
baseline,spender,25,lost,1105,25,1,4,3,1,4,0,0
baseline,spender,26,lost,1186,20,1,5,3,2,3,0,0
baseline,spender,27,lost,752,19,0,1,0,1,3,0,0
baseline,spender,28,lost,247,10,0,1,0,1,2,0,0
baseline,spender,29,lost,586,14,1,4,3,1,3,1,0
baseline,spender,30,won,1494,23,1,4,3,1,4,0,0
baseline,spender,31,lost,1356,25,1,4,3,1,3,0,0
baseline,spender,32,lost,691,17,1,4,3,1,4,1,0
baseline,spender,33,lost,1462,19,1,5,3,2,4,0,0
baseline,spender,34,lost,1887,22,2,8,6,2,6,0,0
baseline,spender,35,lost,710,13,0,1,0,1,3,0,0
baseline,spender,36,lost,1044,16,1,5,3,2,4,0,0
baseline,spender,37,lost,1088,24,0,2,0,2,4,0,0
baseline,spender,38,won,1618,21,1,4,3,1,4,0,0
baseline,spender,39,won,1775,22,2,6,6,0,4,0,0
baseline,spender,40,lost,515,16,0,1,0,1,2,0,0
baseline,spender,41,lost,459,20,1,3,3,0,3,0,0
baseline,spender,42,lost,1158,23,1,5,3,2,3,0,0
baseline,spender,43,lost,638,15,0,0,0,0,3,0,0
baseline,spender,44,lost,1293,18,2,6,6,0,5,2,0
baseline,spender,45,lost,1127,24,2,8,6,2,4,0,0
baseline,spender,46,lost,1220,24,2,6,6,0,4,0,0
baseline,spender,47,lost,684,16,1,4,3,1,3,1,0
baseline,spender,48,won,1405,23,2,8,6,2,3,0,0
baseline,spender,49,won,1564,14,0,4,0,4,5,1,0
baseline,spender,50,lost,644,13,1,3,3,0,3,0,0
without-color,greedy,1,lost,594,13,0,3,0,3,5,0,0
without-color,greedy,2,lost,558,17,0,2,0,2,3,0,0
without-color,greedy,3,lost,1105,28,0,8,0,8,4,1,0
without-color,greedy,4,lost,901,25,0,3,0,3,3,0,0
without-color,greedy,5,lost,1390,30,0,2,0,2,4,0,0
without-color,greedy,6,lost,241,10,0,1,0,1,2,0,0
without-color,greedy,7,won,1473,19,0,2,0,2,4,0,0
without-color,greedy,8,lost,1071,18,0,1,0,1,5,0,0
without-color,greedy,9,lost,676,13,0,1,0,1,4,0,0
without-color,greedy,10,lost,536,19,0,3,0,3,2,0,0
without-color,greedy,11,lost,1375,24,0,3,0,3,5,0,0
without-color,greedy,12,lost,629,13,0,3,0,3,5,0,0
without-color,greedy,13,lost,517,17,0,3,0,3,3,0,0
without-color,greedy,14,lost,258,10,0,2,0,2,2,0,0
without-color,greedy,15,lost,217,10,0,2,0,2,2,0,0
without-color,greedy,16,won,1458,20,0,5,0,5,6,0,0
without-color,greedy,17,lost,537,15,0,3,0,3,2,0,0
without-color,greedy,18,lost,631,17,0,2,0,2,4,0,0
