scenario,policy,seed,status,totalScore,swaps,rerolls,coinsEarned,coinsSpent,coinsEnding,bestWaveCount,shuffles,cappedResolutions
baseline,random,7001,lost,3930,21,0,47,36,11,4,1,0
baseline,random,7002,lost,5385,15,0,43,31,12,5,0,0
baseline,random,7003,lost,732,16,0,11,9,2,3,0,0
baseline,random,7004,lost,2696,21,0,23,19,4,3,0,0
baseline,random,7005,lost,3645,26,0,36,32,4,4,0,0
baseline,random,7006,lost,207,10,0,1,0,1,1,0,0
baseline,random,7007,lost,1873,25,0,17,15,2,2,0,0
baseline,random,7008,lost,2358,22,0,21,18,3,3,0,0
baseline,random,7009,lost,37911,36,0,113,88,25,5,0,0
baseline,random,7010,lost,4793,15,0,30,26,4,5,0,0
baseline,random,7011,lost,5108,26,0,40,34,6,4,0,0
baseline,random,7012,lost,866,11,0,14,13,1,3,0,0
baseline,random,7013,lost,3731,25,0,44,40,4,4,0,0
baseline,random,7014,lost,9029,32,0,71,68,3,3,0,0
baseline,random,7015,lost,1551,20,0,20,20,0,3,0,0
baseline,random,7016,lost,3176,29,0,32,26,6,3,0,0
baseline,random,7017,lost,18347,42,0,73,63,10,4,0,0
baseline,random,7018,lost,3686,33,0,30,28,2,3,0,0
baseline,random,7019,lost,2814,18,0,23,23,0,3,0,0
baseline,random,7020,lost,1298,20,0,23,20,3,2,0,0
baseline,random,7021,lost,539,13,0,15,9,6,2,0,0
baseline,random,7022,lost,3620,23,0,49,41,8,3,1,0
baseline,random,7023,lost,1799,22,0,23,19,4,3,0,0
baseline,random,7024,lost,4115,30,0,33,27,6,4,0,0
baseline,random,7025,lost,10181,35,0,66,63,3,3,2,0
baseline,random,7026,lost,6709,21,0,58,44,14,4,0,0
baseline,random,7027,lost,13117,25,0,61,57,4,5,0,0
baseline,random,7028,lost,1188,23,0,23,20,3,3,0,0
baseline,random,7029,lost,7171,38,0,43,41,2,3,2,0
baseline,random,7030,lost,649,13,0,12,12,0,2,0,0
baseline,random,7031,lost,3723,25,0,43,36,7,3,0,0
baseline,random,7032,lost,3703,23,0,36,32,4,3,0,0
baseline,random,7033,lost,1240,25,0,21,16,5,3,1,0
baseline,random,7034,lost,8177,25,0,60,54,6,3,1,0
baseline,random,7035,lost,1238,20,0,22,17,5,2,0,0
baseline,random,7036,lost,1722,17,0,27,21,6,3,1,0
baseline,random,7037,lost,1548,15,0,31,26,5,4,0,0
baseline,random,7038,lost,1462,17,0,25,25,0,3,0,0
baseline,random,7039,won,40180,39,0,116,68,48,5,0,0
baseline,random,7040,lost,2206,17,0,27,24,3,3,1,0
baseline,greedy,7001,won,68721,34,0,121,86,35,8,0,0
baseline,greedy,7002,won,40578,43,0,113,91,22,3,0,0
baseline,greedy,7003,lost,1596,22,0,21,17,4,3,1,0
baseline,greedy,7004,won,47400,32,0,113,70,43,6,0,0
baseline,greedy,7005,lost,3990,18,0,41,33,8,3,0,0
baseline,greedy,7006,lost,12481,43,0,48,38,10,4,0,0
baseline,greedy,7007,lost,6608,31,0,42,39,3,3,0,0
baseline,greedy,7008,lost,4268,17,0,49,42,7,3,0,0
baseline,greedy,7009,won,48208,35,0,123,87,36,5,0,0
baseline,greedy,7010,lost,28892,36,0,95,68,27,5,0,0
baseline,greedy,7011,lost,4795,32,0,27,25,2,3,1,0
baseline,greedy,7012,lost,23346,32,0,88,61,27,7,0,0
baseline,greedy,7013,won,57261,20,0,134,91,43,5,0,0
baseline,greedy,7014,won,38309,44,0,107,66,41,4,0,0
baseline,greedy,7015,won,61524,28,0,119,75,44,4,0,0
baseline,greedy,7016,lost,18762,40,0,77,57,20,4,0,0
baseline,greedy,7017,lost,5658,24,0,36,28,8,3,0,0
baseline,greedy,7018,won,44253,38,0,113,86,27,4,0,0
baseline,greedy,7019,won,67092,34,0,120,70,50,5,0,0
baseline,greedy,7020,lost,9661,33,0,61,46,15,2,1,0
baseline,greedy,7021,lost,15314,28,0,65,49,16,5,0,0
baseline,greedy,7022,won,50513,37,0,119,76,43,5,0,0
baseline,greedy,7023,lost,3952,26,0,35,32,3,3,0,0
baseline,greedy,7024,lost,15415,33,0,81,62,19,3,0,0
baseline,greedy,7025,lost,4255,28,0,34,28,6,3,0,0
baseline,greedy,7026,won,45176,52,0,103,77,26,5,0,0
baseline,greedy,7027,won,38935,39,0,116,66,50,4,0,0
baseline,greedy,7028,won,59583,39,0,121,73,48,5,0,0
baseline,greedy,7029,won,48631,28,0,131,91,40,4,0,0
baseline,greedy,7030,won,38524,41,0,109,76,33,4,0,0
baseline,greedy,7031,won,46377,30,0,122,61,61,5,0,0
