scenario,policy,seed,status,totalScore,swaps,rerolls,coinsEarned,coinsSpent,coinsEnding,bestWaveCount,shuffles,cappedResolutions
baseline,greedy,1,lost,6453,42,0,42,37,5,3,0,0
baseline,greedy,2,won,41333,39,0,96,66,30,3,0,0
baseline,greedy,3,won,38700,40,0,103,69,34,5,0,0
baseline,greedy,4,won,38255,48,0,97,66,31,4,0,0
baseline,greedy,5,won,45411,30,0,114,84,30,3,0,0
baseline,greedy,6,won,35952,44,0,103,76,27,4,0,0
baseline,greedy,7,won,40980,25,0,108,70,38,4,0,0
baseline,greedy,8,won,51195,37,0,103,89,14,3,0,0
baseline,greedy,9,won,38687,45,0,95,71,24,4,0,0
baseline,greedy,10,won,36346,54,0,99,71,28,3,0,0
baseline,greedy,11,won,72094,20,0,114,79,35,5,0,0
baseline,greedy,12,won,62609,31,0,108,60,48,7,0,0
baseline,greedy,13,won,69406,23,0,111,80,31,4,0,0
baseline,greedy,14,won,64035,26,0,112,85,27,4,0,0
baseline,greedy,15,won,54767,30,0,114,66,48,5,0,0
baseline,greedy,16,won,49223,36,0,115,88,27,4,0,0
baseline,greedy,17,lost,8932,45,0,51,44,7,4,0,0
baseline,greedy,18,lost,31588,38,0,97,67,30,4,0,0
baseline,greedy,19,lost,30385,37,0,77,59,18,6,0,0
baseline,greedy,20,won,54380,28,0,107,79,28,4,0,0
baseline,greedy,21,won,59789,25,0,118,92,26,3,0,0
baseline,greedy,22,won,97649,30,0,112,78,34,8,0,0
baseline,greedy,23,won,37137,45,0,106,60,46,4,0,0
baseline,greedy,24,won,44185,28,0,115,63,52,4,0,0
baseline,builder,1,won,48593,36,0,118,77,41,5,0,0
baseline,builder,2,lost,732,11,0,17,12,5,2,0,0
baseline,builder,3,lost,23990,31,0,77,49,28,4,0,0
baseline,builder,4,won,40063,36,0,107,68,39,3,0,0
baseline,builder,5,won,40512,41,0,102,67,35,3,0,0
baseline,builder,6,won,105714,21,0,115,68,47,6,0,0
baseline,builder,7,won,90498,19,0,120,72,48,4,0,0
baseline,builder,8,won,51792,39,0,104,79,25,6,0,0
baseline,builder,9,won,53009,28,0,107,76,31,4,0,0
