scenario,policy,seed,status,totalScore,swaps,rerolls,coinsEarned,coinsSpent,coinsEnding,bestWaveCount,shuffles,cappedResolutions
baseline,spender,7001,lost,24916,47,8,83,82,1,3,1,0
baseline,spender,7002,lost,35532,38,12,103,101,2,4,0,0
baseline,spender,7003,lost,807,18,1,9,8,1,2,0,0
baseline,spender,7004,lost,32551,46,12,99,97,2,3,0,0
baseline,spender,7005,won,40196,34,14,121,113,8,3,0,0
baseline,spender,7006,won,159154,37,13,120,102,18,9,1,0
baseline,spender,7007,lost,22684,39,8,90,88,2,3,0,0
baseline,spender,7008,won,42612,29,14,133,123,10,4,0,0
baseline,spender,7009,lost,12929,29,8,69,67,2,4,0,0
baseline,spender,7010,won,44666,34,8,130,118,12,5,0,0
baseline,spender,7011,won,38715,27,13,126,114,12,5,0,0
baseline,spender,7012,won,50248,31,15,124,115,9,4,0,0
baseline,rollout,7001,won,73547,25,12,129,111,18,7,0,0
baseline,rollout,7002,lost,19351,26,6,68,66,2,4,0,0
baseline,rollout,7003,won,67906,21,15,134,119,15,6,0,0
baseline,rollout,7004,lost,47789,38,14,108,108,0,6,1,0
baseline,rollout,7005,won,66858,26,14,130,115,15,8,0,0
baseline,rollout,7006,won,45575,12,17,139,124,15,5,0,0
baseline,rollout,7007,won,42919,25,13,136,124,12,4,0,0
baseline,rollout,7008,won,82786,11,17,150,122,28,7,0,0
baseline,rollout,7009,won,47039,11,21,147,131,16,5,0,0
baseline,rollout,7010,won,53610,18,18,137,121,16,5,0,0
baseline,rollout,7011,lost,17890,17,6,61,61,0,4,0,0
baseline,rollout,7012,won,50239,26,18,128,114,14,4,0,0
