scenario,policy,seed,status,totalScore,swaps,rerolls,coinsEarned,coinsSpent,coinsEnding,bestWaveCount,shuffles,cappedResolutions
baseline,greedy,1,lost,6453,42,0,42,37,5,3,0,0
baseline,greedy,2,won,61565,48,0,104,62,42,5,1,0
baseline,greedy,3,won,38700,40,0,109,69,40,5,0,0
baseline,greedy,4,won,38255,48,0,106,66,40,4,0,0
baseline,greedy,5,won,45411,30,0,128,90,38,3,0,0
baseline,greedy,6,won,35952,44,0,111,76,35,4,0,0
baseline,greedy,7,won,66001,23,0,130,90,40,5,0,0
baseline,greedy,8,lost,19135,24,0,85,66,19,3,0,0
baseline,greedy,9,lost,29406,38,0,90,61,29,5,0,0
baseline,greedy,10,won,36346,54,0,106,71,35,3,0,0
baseline,greedy,11,lost,15821,32,0,63,53,10,6,0,0
baseline,greedy,12,won,58408,35,0,115,60,55,7,0,0
baseline,builder,1,won,48593,36,0,127,77,50,5,0,0
baseline,builder,2,lost,732,11,0,17,12,5,2,0,0
baseline,builder,3,lost,23990,31,0,77,49,28,4,0,0
baseline,builder,4,won,40063,36,0,119,68,51,3,0,0
baseline,builder,5,won,40512,41,0,109,67,42,3,0,0
baseline,builder,6,won,52294,32,0,116,56,60,6,0,0
baseline,builder,7,won,36906,37,0,112,61,51,4,0,0
baseline,builder,8,won,40882,29,0,118,57,61,4,0,0
baseline,builder,9,won,53009,28,0,121,82,39,4,0,0
baseline,builder,10,won,44095,40,0,113,62,51,4,0,0
baseline,builder,11,won,50890,31,0,129,62,67,4,0,0
baseline,builder,12,lost,808,11,0,15,12,3,3,0,0
start-convert,greedy,1,won,50766,32,0,124,64,60,5,0,0
start-convert,greedy,2,won,58541,31,0,126,67,59,7,0,0
start-convert,greedy,3,won,73324,19,0,130,89,41,5,0,0
start-convert,greedy,4,won,63321,26,0,130,97,33,5,0,0
start-convert,greedy,5,lost,25674,20,0,92,57,35,5,0,0
start-convert,greedy,6,lost,28555,32,0,93,55,38,6,0,0
start-convert,greedy,7,lost,3801,23,0,39,38,1,4,0,0
start-convert,greedy,8,lost,49162,31,0,116,71,45,4,0,0
start-convert,greedy,9,won,78702,18,0,128,84,44,6,0,0
start-convert,greedy,10,won,68519,16,0,136,80,56,4,0,0
start-convert,greedy,11,won,60120,22,0,129,59,70,7,0,0
start-convert,greedy,12,won,64500,19,0,131,84,47,3,0,0
start-convert,builder,1,lost,40604,40,0,107,56,51,4,0,0
start-convert,builder,2,lost,39783,37,0,104,59,45,4,0,0
start-convert,builder,3,won,53820,28,0,118,75,43,5,0,0
start-convert,builder,4,won,51129,28,0,129,60,69,5,0,0
start-convert,builder,5,won,55536,25,0,129,74,55,5,0,0
start-convert,builder,6,won,56594,26,0,125,61,64,6,0,0
start-convert,builder,7,won,39518,45,0,102,56,46,4,0,0
start-convert,builder,8,lost,11953,22,0,74,47,27,3,0,0
start-convert,builder,9,won,70800,37,0,118,60,58,5,0,0
start-convert,builder,10,won,53949,19,0,128,49,79,4,0,0
start-convert,builder,11,won,81527,20,0,129,56,73,6,0,0
start-convert,builder,12,won,80495,23,0,137,81,56,5,0,0
start-ones,greedy,1,won,253188,34,0,132,81,51,6,0,0
start-ones,greedy,2,won,48859,29,0,125,85,40,4,0,0
start-ones,greedy,3,lost,24805,34,0,91,50,41,4,0,0
start-ones,greedy,4,won,49787,27,0,119,77,42,4,0,0
start-ones,greedy,5,won,47632,23,0,125,72,53,5,0,0
start-ones,greedy,6,won,42803,36,0,116,61,55,5,1,0
start-ones,greedy,7,won,43921,37,0,117,73,44,4,0,0
start-ones,greedy,8,lost,49329,37,0,110,70,40,3,0,0
start-ones,greedy,9,won,48933,31,0,122,87,35,4,0,0
start-ones,greedy,10,won,59403,29,0,134,75,59,6,0,0
start-ones,greedy,11,lost,23051,32,0,89,68,21,4,1,0
start-ones,greedy,12,won,49233,36,0,116,58,58,4,0,0
start-ones,builder,1,won,190772,19,0,137,66,71,6,0,0
start-ones,builder,2,lost,1713,21,0,26,23,3,2,0,0
start-ones,builder,3,won,40629,26,0,126,60,66,4,0,0
start-ones,builder,4,lost,38489,28,0,100,45,55,4,0,0
start-ones,builder,5,won,133458,21,0,129,69,60,7,0,0
start-ones,builder,6,won,59502,25,0,121,69,52,3,0,0
start-ones,builder,7,won,40879,28,0,119,50,69,4,0,0
start-ones,builder,8,won,57402,30,0,116,76,40,4,0,0
start-ones,builder,9,won,35517,39,0,109,55,54,3,0,0
start-ones,builder,10,won,55835,36,0,123,65,58,6,0,0
start-ones,builder,11,won,44988,31,0,118,59,59,4,0,0
start-ones,builder,12,won,47335,35,0,120,75,45,3,0,0
start-cascade,greedy,1,lost,1881,21,0,26,22,4,2,0,0
start-cascade,greedy,2,lost,40566,42,0,95,58,37,5,0,0
start-cascade,greedy,3,lost,4556,26,0,32,28,4,3,0,0
start-cascade,greedy,4,won,42581,34,0,116,64,52,3,0,0
start-cascade,greedy,5,lost,6169,25,0,52,37,15,3,0,0
start-cascade,greedy,6,won,41023,26,0,126,66,60,3,0,0
start-cascade,greedy,7,won,43523,37,0,117,74,43,4,0,0
start-cascade,greedy,8,lost,49413,37,0,110,71,39,3,0,0
start-cascade,greedy,9,lost,10742,31,0,61,51,10,3,0,0
start-cascade,greedy,10,won,48022,32,0,137,82,55,4,0,0
start-cascade,greedy,11,won,56571,39,0,113,82,31,5,1,0
start-cascade,greedy,12,lost,953,11,0,16,10,6,3,0,0
start-cascade,builder,1,won,51568,30,0,126,81,45,3,0,0
start-cascade,builder,2,lost,1780,21,0,26,23,3,2,0,0
start-cascade,builder,3,won,58783,20,0,122,74,48,3,0,0
start-cascade,builder,4,lost,24210,40,0,75,44,31,4,0,0
start-cascade,builder,5,won,74925,20,0,125,75,50,4,0,0
start-cascade,builder,6,won,55517,42,0,112,61,51,4,0,0
start-cascade,builder,7,won,40721,28,0,119,51,68,4,0,0
start-cascade,builder,8,won,49478,33,0,113,73,40,4,0,0
