scenario,policy,seed,status,totalScore,swaps,rerolls,coinsEarned,coinsSpent,coinsEnding,bestWaveCount,shuffles,cappedResolutions
exposure-column,greedy,1,lost,46899,27,0,118,80,38,3,0,0
exposure-column,greedy,2,won,55353,26,0,109,80,29,5,0,0
exposure-column,greedy,3,won,50119,39,0,108,79,29,5,0,0
exposure-column,greedy,4,won,56792,15,0,112,63,49,4,0,0
exposure-column,greedy,5,won,53972,31,0,104,64,40,4,0,0
exposure-column,greedy,6,won,41112,19,0,114,68,46,4,0,0
exposure-column,greedy,7,won,60028,28,0,107,82,25,5,0,0
exposure-column,greedy,8,won,47995,24,0,114,76,38,5,0,0
exposure-column,greedy,9,won,37899,21,0,113,63,50,5,0,0
exposure-column,greedy,10,won,81968,13,0,117,82,35,5,0,0
exposure-column,greedy,11,won,40612,29,0,112,74,38,4,0,0
exposure-column,greedy,12,won,58903,35,0,106,68,38,5,0,0
exposure-column,greedy,13,lost,2687,22,0,35,33,2,2,0,0
exposure-column,greedy,14,won,48288,30,0,108,69,39,4,0,0
exposure-column,greedy,15,won,40184,48,0,89,66,23,4,0,0
exposure-column,greedy,16,lost,3681,17,0,42,38,4,2,0,0
exposure-column,builder,1,lost,66468,28,0,110,55,55,5,0,0
exposure-column,builder,2,won,95104,19,0,113,82,31,4,0,0
exposure-column,builder,3,won,44204,27,0,105,61,44,5,0,0
exposure-column,builder,4,won,56944,24,0,110,61,49,5,0,0
exposure-column,builder,5,won,68990,31,0,111,86,25,5,0,0
exposure-column,builder,6,won,43228,26,0,114,68,46,4,1,0
exposure-column,builder,7,won,45156,41,0,101,63,38,3,0,0
exposure-column,builder,8,won,38652,35,0,103,77,26,4,0,0
exposure-column,builder,9,won,80423,23,0,121,77,44,5,0,0
exposure-column,builder,10,won,83826,24,0,123,101,22,4,1,0
exposure-column,builder,11,won,55799,22,0,114,80,34,4,0,0
exposure-column,builder,12,won,59725,19,0,117,99,18,3,0,0
exposure-column,builder,13,won,49265,40,0,116,76,40,4,0,0
exposure-column,builder,14,won,49082,22,0,119,93,26,3,0,0
exposure-column,builder,15,won,55966,23,0,108,64,44,4,0,0
exposure-column,builder,16,won,57175,27,0,116,79,37,6,0,0
exposure-row,greedy,1,won,45631,24,0,110,63,47,5,0,0
exposure-row,greedy,2,won,43476,18,0,112,68,44,3,0,0
exposure-row,greedy,3,won,47461,22,0,122,89,33,4,0,0
exposure-row,greedy,4,won,58377,25,0,112,64,48,5,0,0
exposure-row,greedy,5,won,36895,37,0,101,59,42,4,0,0
exposure-row,greedy,6,lost,8902,27,0,47,41,6,3,0,0
exposure-row,greedy,7,lost,12179,38,0,57,48,9,4,0,0
exposure-row,greedy,8,won,44743,21,0,114,74,40,4,0,0
exposure-row,greedy,9,won,52105,29,0,114,75,39,4,0,0
exposure-row,greedy,10,lost,15708,24,0,79,58,21,5,0,0
exposure-row,greedy,11,won,40153,28,0,112,79,33,4,0,0
exposure-row,greedy,12,won,43237,23,0,119,80,39,3,0,0
exposure-row,greedy,13,won,89966,21,0,113,78,35,5,0,0
exposure-row,greedy,14,won,64936,21,0,109,74,35,5,0,0
exposure-row,greedy,15,won,50123,35,0,102,68,34,4,0,0
exposure-row,greedy,16,won,43011,36,0,107,74,33,4,0,0
exposure-row,builder,1,won,69225,36,0,108,86,22,4,0,0
exposure-row,builder,2,won,57439,13,0,117,75,42,3,0,0
exposure-row,builder,3,won,45940,19,0,112,53,59,3,0,0
exposure-row,builder,4,won,45300,29,0,112,64,48,3,0,0
exposure-row,builder,5,won,40846,44,0,98,66,32,3,0,0
exposure-row,builder,6,won,93488,17,0,116,88,28,4,0,0
exposure-row,builder,7,won,43484,31,0,104,72,32,4,0,0
exposure-row,builder,8,lost,19010,27,0,84,53,31,4,0,0
exposure-row,builder,9,lost,1329,14,0,29,25,4,2,0,0
exposure-row,builder,10,won,61506,22,0,117,86,31,5,0,0
exposure-row,builder,11,lost,35435,21,0,108,66,42,4,0,0
exposure-row,builder,12,lost,7500,19,0,59,46,13,2,0,0
exposure-row,builder,13,won,44552,27,0,105,50,55,3,0,0
exposure-row,builder,14,won,50657,33,0,113,81,32,4,0,0
exposure-row,builder,15,won,78925,25,0,110,79,31,3,0,0
exposure-row,builder,16,won,40755,43,0,99,58,41,3,0,0
exposure-bomb,greedy,1,won,53981,38,0,104,73,31,4,0,0
exposure-bomb,greedy,2,won,43877,19,0,111,69,42,3,0,0
exposure-bomb,greedy,3,won,59385,17,0,115,63,52,5,0,0
exposure-bomb,greedy,4,lost,11897,27,0,67,52,15,2,0,0
exposure-bomb,greedy,5,lost,27789,25,0,104,74,30,4,0,0
exposure-bomb,greedy,6,won,93428,9,0,123,88,35,4,0,0
