scenario,policy,seed,status,totalScore,swaps,rerolls,coinsEarned,coinsSpent,coinsEnding,bestWaveCount,shuffles,cappedResolutions
baseline,greedy,1,lost,1551,23,0,2,0,2,3,0,0
baseline,greedy,2,lost,891,14,0,2,0,2,3,0,0
baseline,greedy,3,lost,1334,19,0,2,0,2,4,0,0
baseline,greedy,4,lost,1386,26,0,5,0,5,4,0,0
baseline,greedy,5,lost,1467,24,0,2,0,2,3,0,0
baseline,greedy,6,lost,697,18,0,2,0,2,3,0,0
baseline,greedy,7,won,1350,19,0,4,0,4,4,0,0
baseline,greedy,8,lost,1340,25,0,5,0,5,5,1,0
baseline,greedy,9,lost,1437,22,0,5,0,5,4,0,0
baseline,greedy,10,won,1921,15,0,1,0,1,5,0,0
baseline,greedy,11,lost,1280,17,0,7,0,7,7,0,0
baseline,greedy,12,lost,806,14,0,3,0,3,3,0,0
baseline,greedy,13,lost,861,13,0,8,0,8,4,0,0
baseline,greedy,14,lost,1310,23,0,6,0,6,4,0,0
baseline,greedy,15,won,1601,22,0,5,0,5,3,0,0
baseline,greedy,16,won,1488,17,0,4,0,4,3,0,0
baseline,greedy,17,won,1562,16,0,5,0,5,3,0,0
baseline,greedy,18,won,1477,16,0,4,0,4,4,0,0
baseline,greedy,19,lost,1343,16,0,2,0,2,7,0,0
baseline,greedy,20,lost,1400,22,0,6,0,6,4,0,0
baseline,greedy,21,lost,1326,20,0,1,0,1,5,0,0
baseline,greedy,22,lost,209,10,0,0,0,0,3,0,0
baseline,greedy,23,lost,1100,19,0,2,0,2,4,0,0
baseline,greedy,24,won,1613,23,0,4,0,4,5,1,0
baseline,greedy,25,won,1549,28,0,5,0,5,3,0,0
baseline,greedy,26,lost,1388,14,0,5,0,5,5,0,0
baseline,greedy,27,lost,946,17,0,2,0,2,4,0,0
baseline,greedy,28,lost,247,10,0,1,0,1,2,0,0
baseline,greedy,29,lost,629,14,0,4,0,4,3,1,0
baseline,greedy,30,won,1406,24,0,4,0,4,4,0,0
baseline,greedy,31,lost,1653,19,0,2,0,2,5,0,0
baseline,greedy,32,lost,640,16,0,1,0,1,4,0,0
baseline,greedy,33,lost,1482,25,0,7,0,7,4,0,0
baseline,greedy,34,won,1669,19,0,3,0,3,5,0,0
baseline,greedy,35,lost,660,12,0,1,0,1,2,0,0
baseline,greedy,36,lost,1269,20,0,3,0,3,5,0,0
baseline,greedy,37,lost,695,17,0,1,0,1,2,0,0
baseline,greedy,38,lost,1290,18,0,4,0,4,4,1,0
baseline,greedy,39,won,1359,20,0,5,0,5,5,0,0
baseline,greedy,40,lost,1134,24,0,3,0,3,3,0,0
baseline,greedy,41,won,1467,22,0,4,0,4,4,0,0
baseline,greedy,42,lost,1219,25,0,7,0,7,3,0,0
baseline,greedy,43,lost,984,22,0,2,0,2,4,0,0
baseline,greedy,44,won,1686,16,0,4,0,4,6,0,0
baseline,greedy,45,lost,816,19,0,6,0,6,3,0,0
baseline,greedy,46,lost,1100,20,0,7,0,7,4,0,0
baseline,greedy,47,lost,1091,16,0,6,0,6,4,0,0
baseline,greedy,48,lost,1272,14,0,2,0,2,8,0,0
baseline,greedy,49,lost,256,10,0,0,0,0,2,0,0
baseline,greedy,50,lost,909,20,0,5,0,5,3,0,0
baseline,greedy,51,lost,1333,16,0,4,0,4,5,0,0
baseline,greedy,52,lost,624,15,0,3,0,3,3,0,0
baseline,greedy,53,lost,246,10,0,0,0,0,3,0,0
baseline,greedy,54,won,1356,23,0,8,0,8,4,0,0
baseline,greedy,55,won,1619,15,0,2,0,2,4,0,0
baseline,greedy,56,won,1467,19,0,8,0,8,4,0,0
baseline,greedy,57,lost,1194,28,0,7,0,7,3,0,0
baseline,greedy,58,lost,1226,17,0,3,0,3,4,0,0
baseline,greedy,59,lost,1171,20,0,3,0,3,5,0,0
baseline,greedy,60,lost,245,10,0,2,0,2,2,0,0
baseline,greedy,61,lost,1038,28,0,4,0,4,2,0,0
baseline,greedy,62,lost,1214,20,0,4,0,4,3,0,0
baseline,greedy,63,won,1460,11,0,4,0,4,4,0,0
baseline,greedy,64,lost,853,17,0,3,0,3,6,0,0
baseline,greedy,65,lost,1138,19,0,2,0,2,3,0,0
baseline,greedy,66,won,1495,22,0,4,0,4,4,0,0
baseline,greedy,67,won,2106,23,0,10,0,10,6,0,0
baseline,greedy,68,lost,1197,22,0,4,0,4,4,0,0
baseline,greedy,69,won,1749,12,0,5,0,5,5,0,0
baseline,greedy,70,lost,1346,16,0,2,0,2,4,0,0
baseline,greedy,71,won,1540,14,0,2,0,2,6,0,0
baseline,greedy,72,won,1350,20,0,8,0,8,3,0,0
baseline,greedy,73,lost,254,10,0,2,0,2,2,0,0
baseline,greedy,74,won,1514,13,0,5,0,5,5,0,0
baseline,greedy,75,won,1332,23,0,5,0,5,3,0,0
baseline,greedy,76,lost,788,14,0,5,0,5,3,0,0
baseline,greedy,77,won,1687,19,0,5,0,5,4,0,0
baseline,greedy,78,lost,1304,20,0,3,0,3,3,0,0
baseline,greedy,79,lost,1228,18,0,7,0,7,2,0,0
baseline,greedy,80,lost,1326,26,0,7,0,7,3,0,0
baseline,greedy,81,lost,1292,25,0,8,0,8,3,0,0
baseline,greedy,82,lost,1263,27,0,8,0,8,4,1,0
baseline,greedy,83,lost,1257,23,0,1,0,1,6,0,0
baseline,greedy,84,lost,1364,29,0,4,0,4,4,0,0
baseline,greedy,85,lost,684,18,0,2,0,2,3,0,0
baseline,greedy,86,won,1670,25,0,4,0,4,4,0,0
baseline,greedy,87,lost,1538,17,0,2,0,2,3,2,0
baseline,greedy,88,lost,1205,24,0,2,0,2,3,0,0
baseline,greedy,89,lost,617,13,0,1,0,1,4,0,0
baseline,greedy,90,lost,662,15,0,2,0,2,3,0,0
baseline,greedy,91,lost,252,10,0,2,0,2,2,0,0
baseline,greedy,92,lost,879,14,0,2,0,2,3,0,0
baseline,greedy,93,lost,1190,21,0,3,0,3,4,1,0
baseline,greedy,94,lost,456,14,0,0,0,0,2,0,0
baseline,greedy,95,lost,1661,17,0,3,0,3,4,0,0
baseline,greedy,96,won,1529,10,0,2,0,2,5,0,0
baseline,greedy,97,lost,1256,22,0,3,0,3,3,1,0
baseline,greedy,98,lost,1285,20,0,5,0,5,4,1,0
baseline,greedy,99,lost,518,15,0,3,0,3,3,1,0
baseline,greedy,100,lost,686,16,0,2,0,2,3,0,0
baseline,spender,1,lost,1551,23,0,2,0,2,3,0,0
baseline,spender,2,lost,891,14,0,2,0,2,3,0,0
baseline,spender,3,lost,1334,19,0,2,0,2,4,0,0
baseline,spender,4,lost,1404,26,1,4,3,1,4,0,0
baseline,spender,5,lost,1467,24,0,2,0,2,3,0,0
baseline,spender,6,lost,697,18,0,2,0,2,3,0,0
baseline,spender,7,won,1403,17,2,6,6,0,4,0,0
baseline,spender,8,lost,561,19,1,3,3,0,4,1,0
baseline,spender,9,lost,1091,22,1,3,3,0,3,0,0
baseline,spender,10,won,1921,15,0,1,0,1,5,0,0
baseline,spender,11,lost,1336,17,2,8,6,2,7,1,0
baseline,spender,12,lost,657,14,1,4,3,1,3,0,0
baseline,spender,13,won,1588,21,1,6,3,3,4,0,0
baseline,spender,14,won,1371,17,2,7,6,1,4,1,0
baseline,spender,15,lost,1318,23,1,5,3,2,3,0,0
baseline,spender,16,won,1488,17,0,4,0,4,3,0,0
baseline,spender,17,won,1525,20,2,6,6,0,3,0,0
baseline,spender,18,won,1394,15,1,5,3,2,4,0,0
baseline,spender,19,lost,1343,16,0,2,0,2,7,0,0
baseline,spender,20,won,1840,20,1,7,3,4,4,0,0
baseline,spender,21,lost,1326,20,0,1,0,1,5,0,0
baseline,spender,22,lost,209,10,0,0,0,0,3,0,0
baseline,spender,23,lost,1100,19,0,2,0,2,4,0,0
baseline,spender,24,lost,1250,25,2,6,6,0,3,1,0
baseline,spender,25,lost,1105,25,1,4,3,1,4,0,0
baseline,spender,26,won,1379,11,1,3,3,0,3,0,0
baseline,spender,27,lost,946,17,0,2,0,2,4,0,0
baseline,spender,28,lost,247,10,0,1,0,1,2,0,0
baseline,spender,29,lost,1248,24,4,12,12,0,4,1,0
baseline,spender,30,won,1418,24,1,4,3,1,3,1,0
baseline,spender,31,lost,1653,19,0,2,0,2,5,0,0
baseline,spender,32,lost,640,16,0,1,0,1,4,0,0
baseline,spender,33,won,1741,20,2,6,6,0,4,0,0
baseline,spender,34,won,1794,21,1,5,3,2,5,0,0
baseline,spender,35,lost,660,12,0,1,0,1,2,0,0
baseline,spender,36,lost,1472,20,1,5,3,2,5,0,0
baseline,spender,37,lost,695,17,0,1,0,1,2,0,0
baseline,spender,38,won,1526,16,1,5,3,2,4,0,0
baseline,spender,39,won,1769,20,2,6,6,0,4,0,0
baseline,spender,40,won,1390,20,1,3,3,0,5,0,0
baseline,spender,41,lost,1315,24,1,4,3,1,6,0,0
baseline,spender,42,lost,1312,28,1,6,3,3,3,0,0
baseline,spender,43,lost,984,22,0,2,0,2,4,0,0
baseline,spender,44,lost,1235,20,1,4,3,1,4,0,0
baseline,spender,45,lost,732,19,1,3,3,0,3,0,0
baseline,spender,46,won,1415,13,1,5,3,2,5,0,0
baseline,spender,47,won,1562,10,1,4,3,1,5,0,0
baseline,spender,48,lost,1272,14,0,2,0,2,8,0,0
baseline,spender,49,lost,256,10,0,0,0,0,2,0,0
baseline,spender,50,lost,1477,18,1,5,3,2,4,0,0
baseline,spender,51,lost,1313,16,1,3,3,0,5,0,0
baseline,spender,52,lost,624,15,0,3,0,3,3,0,0
baseline,spender,53,lost,246,10,0,0,0,0,3,0,0
baseline,spender,54,won,1492,19,2,7,6,1,6,1,0
baseline,spender,55,won,1619,15,0,2,0,2,4,0,0
baseline,spender,56,lost,1126,21,2,7,6,1,4,0,0
baseline,spender,57,won,1560,27,3,11,9,2,4,0,0
baseline,spender,58,won,1959,25,1,6,3,3,4,0,0
baseline,spender,59,lost,1065,20,1,3,3,0,5,0,0
baseline,spender,60,lost,245,10,0,2,0,2,2,0,0
baseline,spender,61,lost,1269,28,1,3,3,0,3,0,0
baseline,spender,62,won,1544,14,1,6,3,3,5,0,0
baseline,spender,63,won,1495,10,1,3,3,0,5,0,0
baseline,spender,64,lost,862,17,1,3,3,0,6,0,0
baseline,spender,65,lost,1138,19,0,2,0,2,3,0,0
baseline,spender,66,won,1505,21,1,3,3,0,4,0,0
baseline,spender,67,lost,1428,24,2,7,6,1,4,0,0
baseline,spender,68,won,1350,15,1,4,3,1,4,0,0
baseline,spender,69,lost,1407,20,1,3,3,0,4,0,0
baseline,spender,70,lost,1346,16,0,2,0,2,4,0,0
baseline,spender,71,won,1540,14,0,2,0,2,6,0,0
baseline,spender,72,lost,1136,21,1,5,3,2,2,1,0
baseline,spender,73,lost,254,10,0,2,0,2,2,0,0
baseline,spender,74,lost,1401,15,1,5,3,2,5,0,0
baseline,spender,75,won,1406,24,1,6,3,3,3,0,0
baseline,spender,76,lost,1391,22,1,5,3,2,4,1,0
baseline,spender,77,lost,1355,19,1,4,3,1,3,0,0
baseline,spender,78,lost,1294,20,1,3,3,0,3,0,0
baseline,spender,79,lost,1107,17,1,3,3,0,3,0,0
baseline,spender,80,lost,1296,25,2,6,6,0,3,0,0
baseline,spender,81,lost,670,17,1,3,3,0,3,0,0
baseline,spender,82,won,1759,21,2,9,6,3,4,1,0
baseline,spender,83,lost,1257,23,0,1,0,1,6,0,0
baseline,spender,84,lost,1463,29,1,4,3,1,3,0,0
baseline,spender,85,lost,684,18,0,2,0,2,3,0,0
baseline,spender,86,won,1838,22,1,3,3,0,7,0,0
baseline,spender,87,lost,1538,17,0,2,0,2,3,2,0
baseline,spender,88,lost,1205,24,0,2,0,2,3,0,0
baseline,spender,89,lost,617,13,0,1,0,1,4,0,0
baseline,spender,90,lost,662,15,0,2,0,2,3,0,0
baseline,spender,91,lost,252,10,0,2,0,2,2,0,0
baseline,spender,92,lost,879,14,0,2,0,2,3,0,0
baseline,spender,93,lost,1279,21,1,3,3,0,4,0,0
baseline,spender,94,lost,456,14,0,0,0,0,2,0,0
baseline,spender,95,won,2289,17,1,5,3,2,4,0,0
baseline,spender,96,won,1529,10,0,2,0,2,5,0,0
baseline,spender,97,won,1426,20,1,4,3,1,4,0,0
baseline,spender,98,lost,1495,20,2,8,6,2,4,1,0
baseline,spender,99,lost,638,15,1,4,3,1,3,0,0
baseline,spender,100,lost,686,16,0,2,0,2,3,0,0
no-specials,greedy,1,lost,231,10,0,0,0,0,2,0,0
no-specials,greedy,2,lost,519,19,0,0,0,0,2,1,0
no-specials,greedy,3,lost,256,10,0,0,0,0,2,0,0
