scenario,policy,seed,status,totalScore,swaps,rerolls,coinsEarned,coinsSpent,coinsEnding,bestWaveCount,shuffles,cappedResolutions
weaker-specials,greedy,1,won,39772,38,0,53,49,4,5,0,0
weaker-specials,greedy,2,won,33877,48,0,51,49,2,2,0,0
weaker-specials,greedy,3,won,42778,53,0,49,48,1,5,0,0
weaker-specials,greedy,4,won,46478,35,0,56,49,7,6,0,0
weaker-specials,greedy,5,won,42250,38,0,54,53,1,3,0,0
weaker-specials,greedy,6,won,39826,32,0,54,53,1,4,0,0
weaker-specials,greedy,7,won,37245,42,0,52,49,3,3,0,0
weaker-specials,greedy,8,won,37371,45,0,51,49,2,4,0,0
weaker-specials,greedy,9,won,37417,53,0,49,49,0,3,0,0
weaker-specials,greedy,10,won,41157,54,0,50,49,1,3,1,0
weaker-specials,greedy,11,won,41409,46,0,50,48,2,4,0,0
weaker-specials,greedy,12,lost,3554,16,0,23,20,3,2,0,0
weaker-specials,greedy,13,lost,34850,39,0,55,49,6,4,0,0
weaker-specials,greedy,14,won,35998,53,0,50,49,1,3,0,0
weaker-specials,greedy,15,lost,17436,37,0,38,35,3,3,1,0
weaker-specials,greedy,16,lost,17310,38,0,38,35,3,4,0,0
weaker-specials,greedy,17,won,40295,48,0,51,49,2,5,0,0
weaker-specials,greedy,18,won,39185,36,0,53,49,4,4,0,0
weaker-specials,greedy,19,lost,45731,50,0,50,49,1,4,0,0
weaker-specials,greedy,20,won,38852,43,0,52,49,3,3,0,0
weaker-specials,greedy,21,won,38775,35,0,56,49,7,3,0,0
weaker-specials,greedy,22,won,44764,36,0,56,49,7,5,0,0
weaker-specials,greedy,23,won,37996,45,0,52,49,3,4,0,0
weaker-specials,greedy,24,won,35734,35,0,54,49,5,4,0,0
weaker-specials,greedy,25,won,38138,41,0,53,49,4,4,0,0
weaker-specials,greedy,26,won,40596,41,0,54,49,5,3,0,0
weaker-specials,greedy,27,won,37261,28,0,55,53,2,3,0,0
weaker-specials,greedy,28,won,39897,41,0,52,52,0,6,0,0
weaker-specials,greedy,29,won,40108,36,0,55,53,2,3,0,0
weaker-specials,greedy,30,won,35146,42,0,54,49,5,3,0,0
weaker-specials,builder,1,lost,1938,26,0,11,10,1,4,0,0
weaker-specials,builder,2,won,37125,42,0,52,40,12,3,0,0
weaker-specials,builder,3,lost,41146,34,0,57,40,17,4,0,0
weaker-specials,builder,4,won,60633,35,0,53,40,13,4,0,0
weaker-specials,builder,5,lost,1918,14,0,15,15,0,3,0,0
weaker-specials,builder,6,won,49573,30,0,56,44,12,4,0,0
weaker-specials,builder,7,won,58852,22,0,57,40,17,5,0,0
weaker-specials,builder,8,lost,32356,53,0,50,40,10,4,0,0
weaker-specials,builder,9,lost,50385,42,0,54,44,10,4,0,0
weaker-specials,builder,10,lost,44426,58,0,48,40,8,4,2,0
weaker-specials,builder,11,won,53076,31,0,56,44,12,5,0,0
