scenario,policy,seed,status,totalScore,swaps,rerolls,coinsEarned,coinsSpent,coinsEnding,bestWaveCount,shuffles,cappedResolutions
baseline,random,5001,lost,1695,24,0,16,14,2,2,0,0
baseline,random,5002,lost,3932,19,0,21,18,3,2,0,0
baseline,random,5003,lost,12105,37,0,43,43,0,4,0,0
baseline,random,5004,lost,3416,32,0,27,19,8,4,0,0
baseline,random,5005,lost,1824,19,0,13,10,3,3,0,0
baseline,random,5006,lost,3706,29,0,22,20,2,4,0,0
baseline,random,5007,lost,1333,23,0,12,10,2,2,0,0
baseline,random,5008,lost,12731,41,0,38,35,3,5,0,0
baseline,random,5009,lost,562,14,0,7,5,2,2,0,0
baseline,random,5010,lost,9315,26,0,27,24,3,4,0,0
baseline,random,5011,lost,918,12,0,7,4,3,3,0,0
baseline,random,5012,lost,1941,20,0,13,13,0,2,0,0
baseline,random,5013,lost,2892,23,0,20,20,0,3,0,0
baseline,random,5014,lost,615,13,0,7,5,2,2,0,0
baseline,random,5015,lost,11837,42,0,41,29,12,4,0,0
baseline,random,5016,lost,6562,27,0,27,27,0,4,0,0
baseline,random,5017,lost,11505,20,0,45,44,1,4,0,0
baseline,random,5018,lost,1383,21,0,13,10,3,2,0,0
baseline,random,5019,lost,22035,50,0,49,47,2,3,0,0
baseline,random,5020,lost,1798,19,0,13,10,3,4,0,0
baseline,random,5021,lost,17020,53,0,56,49,7,4,0,0
baseline,random,5022,lost,5183,35,0,24,24,0,4,0,0
baseline,random,5023,lost,645,13,0,8,5,3,2,0,0
baseline,random,5024,lost,1226,23,0,11,10,1,3,0,0
baseline,random,5025,lost,2600,30,0,17,15,2,3,0,0
baseline,random,5026,lost,5412,41,0,21,20,1,4,0,0
baseline,random,5027,lost,1753,20,0,15,15,0,4,0,0
baseline,random,5028,lost,13604,44,0,43,39,4,4,0,0
baseline,random,5029,lost,1934,20,0,12,9,3,3,0,0
baseline,random,5030,lost,6859,33,0,25,25,0,3,0,0
baseline,random,5031,lost,3164,23,0,20,19,1,3,1,0
baseline,random,5032,lost,7226,27,0,19,19,0,5,0,0
baseline,random,5033,lost,3917,27,0,18,15,3,4,0,0
baseline,random,5034,lost,12654,24,0,43,40,3,4,0,0
baseline,random,5035,lost,573,12,0,7,5,2,2,0,0
baseline,random,5036,lost,214,10,0,0,0,0,1,0,0
baseline,random,5037,lost,2964,26,0,18,15,3,3,0,0
baseline,random,5038,lost,2995,17,0,17,15,2,3,0,0
baseline,random,5039,lost,7205,35,0,26,25,1,4,1,0
baseline,random,5040,lost,1567,19,0,18,15,3,2,0,0
baseline,random,5041,lost,17971,41,0,60,58,2,5,0,0
baseline,random,5042,lost,14607,42,0,31,29,2,4,0,0
baseline,random,5043,lost,680,12,0,7,5,2,2,0,0
baseline,random,5044,lost,1301,19,0,13,10,3,3,1,0
baseline,random,5045,lost,571,14,0,7,5,2,2,1,0
baseline,random,5046,lost,12962,37,0,36,31,5,5,0,0
baseline,random,5047,lost,8045,29,0,18,15,3,5,0,0
baseline,random,5048,lost,2166,21,0,12,10,2,2,0,0
baseline,random,5049,lost,6478,19,0,31,29,2,4,0,0
baseline,random,5050,lost,1666,20,0,13,10,3,2,0,0
baseline,random,5051,lost,664,18,0,5,5,0,2,0,0
baseline,random,5052,lost,5712,35,0,27,25,2,3,1,0
baseline,random,5053,lost,8891,25,0,28,24,4,5,0,0
baseline,random,5054,lost,5740,33,0,27,25,2,4,0,0
baseline,random,5055,lost,3844,21,0,23,19,4,3,0,0
baseline,random,5056,lost,677,15,0,6,5,1,2,1,0
baseline,random,5057,lost,7350,17,0,21,19,2,5,0,0
baseline,random,5058,lost,1798,18,0,13,13,0,3,0,0
baseline,random,5059,lost,3409,20,0,14,10,4,4,0,0
baseline,random,5060,lost,3415,19,0,23,19,4,2,0,0
baseline,greedy,5001,won,46065,36,0,52,48,4,3,0,0
baseline,greedy,5002,won,45192,44,0,54,53,1,3,0,0
baseline,greedy,5003,lost,18029,37,0,39,39,0,3,0,0
baseline,greedy,5004,won,43650,45,0,52,48,4,3,0,0
baseline,greedy,5005,won,41827,44,0,52,48,4,4,0,0
baseline,greedy,5006,won,39984,35,0,57,53,4,3,0,0
baseline,greedy,5007,won,41435,39,0,54,52,2,4,0,0
baseline,greedy,5008,won,40534,42,0,56,49,7,3,0,0
baseline,greedy,5009,lost,16805,34,0,41,39,2,3,0,0
baseline,greedy,5010,lost,26756,47,0,43,39,4,4,0,0
baseline,greedy,5011,won,35025,41,0,57,54,3,3,0,0
baseline,greedy,5012,won,42979,35,0,54,52,2,3,0,0
baseline,greedy,5013,won,42942,48,0,55,54,1,5,0,0
baseline,greedy,5014,lost,18260,30,0,34,30,4,5,0,0
baseline,greedy,5015,won,40141,51,0,52,49,3,4,0,0
baseline,greedy,5016,won,44301,34,0,59,53,6,4,0,0
baseline,greedy,5017,won,35186,53,0,48,48,0,3,0,0
