scenario,policy,seed,status,totalScore,swaps,rerolls,coinsEarned,coinsSpent,coinsEnding,bestWaveCount,shuffles,cappedResolutions
baseline,spender,5001,won,37598,37,8,77,76,1,3,0,0
baseline,spender,5002,lost,1072,11,1,8,8,0,2,0,0
baseline,spender,5003,lost,15600,34,9,74,71,3,3,0,0
baseline,spender,5004,lost,17744,38,11,70,68,2,3,0,0
baseline,spender,5005,lost,17941,44,11,65,63,2,4,0,0
baseline,spender,5006,lost,7427,33,5,40,39,1,2,1,0
baseline,spender,5007,won,44325,38,16,93,92,1,4,0,0
baseline,spender,5008,lost,6651,32,6,40,38,2,3,0,0
baseline,spender,5009,won,41527,50,16,98,97,1,4,0,0
baseline,spender,5010,won,35968,53,18,102,98,4,3,0,0
baseline,spender,5011,lost,25544,44,16,89,88,1,4,0,0
baseline,spender,5012,won,37471,53,23,121,118,3,4,0,0
baseline,rollout,5001,won,39440,37,3,55,53,2,5,0,0
baseline,rollout,5002,lost,31358,48,3,51,49,2,3,0,0
baseline,rollout,5003,won,41093,41,3,53,53,0,4,0,0
baseline,rollout,5004,won,38538,38,3,55,53,2,3,0,0
baseline,rollout,5005,won,33990,48,4,52,52,0,4,0,0
baseline,rollout,5006,won,37595,38,4,54,52,2,4,0,0
baseline,rollout,5007,won,37656,41,2,51,50,1,3,0,0
baseline,rollout,5008,won,41455,33,1,53,51,2,3,0,0
baseline,rollout,5009,won,35838,35,2,54,54,0,4,0,0
baseline,rollout,5010,won,44710,38,1,52,51,1,4,0,0
baseline,rollout,5011,won,37165,27,2,59,59,0,3,0,0
baseline,rollout,5012,won,44172,23,0,57,56,1,3,0,0
