scenario,policy,seed,status,totalScore,swaps,rerolls,coinsEarned,coinsSpent,coinsEnding,bestWaveCount,shuffles,cappedResolutions
baseline,greedy,1,won,38836,46,0,55,53,2,3,0,0
baseline,greedy,2,won,34583,48,0,53,53,0,3,0,0
baseline,greedy,3,won,42778,53,0,49,48,1,5,0,0
baseline,greedy,4,won,47347,25,0,58,48,10,6,0,0
baseline,greedy,5,won,44111,36,0,54,52,2,3,0,0
baseline,greedy,6,won,40144,33,0,54,52,2,4,0,0
baseline,greedy,7,won,39673,44,0,54,53,1,3,0,0
baseline,greedy,8,lost,36387,49,0,53,53,0,4,0,0
baseline,greedy,9,won,42802,52,0,49,48,1,5,0,0
baseline,greedy,10,won,37277,54,0,52,49,3,3,1,0
baseline,greedy,11,won,41409,46,0,50,48,2,4,0,0
baseline,greedy,12,lost,3554,16,0,23,20,3,2,0,0
baseline,builder,1,lost,1938,26,0,11,10,1,4,0,0
baseline,builder,2,won,37996,34,0,56,45,11,3,0,0
baseline,builder,3,won,39604,45,0,56,46,10,4,0,0
baseline,builder,4,won,60633,35,0,53,40,13,4,0,0
baseline,builder,5,lost,1918,14,0,15,15,0,3,0,0
baseline,builder,6,won,49628,30,0,56,44,12,4,0,0
baseline,builder,7,won,58852,22,0,57,40,17,5,0,0
baseline,builder,8,won,42498,40,0,54,45,9,3,0,0
baseline,builder,9,won,49297,38,0,56,45,11,4,1,0
baseline,builder,10,lost,31754,63,0,48,41,7,3,1,0
baseline,builder,11,won,53076,31,0,56,44,12,5,0,0
baseline,builder,12,lost,3675,17,0,22,20,2,2,0,0
no-upgrades,greedy,1,won,40596,49,0,51,45,6,3,0,0
no-upgrades,greedy,2,won,42557,48,0,53,50,3,3,0,0
no-upgrades,greedy,3,lost,24230,55,0,43,40,3,3,0,0
no-upgrades,greedy,4,won,46447,34,0,56,45,11,6,0,0
no-upgrades,greedy,5,lost,24717,35,0,50,50,0,3,0,0
no-upgrades,greedy,6,lost,21870,46,0,44,40,4,2,1,0
no-upgrades,greedy,7,won,38953,49,0,52,50,2,3,0,0
no-upgrades,greedy,8,lost,4911,20,0,20,20,0,4,0,0
no-upgrades,greedy,9,lost,6652,34,0,24,20,4,2,0,0
no-upgrades,greedy,10,lost,34519,56,0,52,50,2,3,1,0
no-upgrades,greedy,11,lost,39320,51,0,50,45,5,4,0,0
no-upgrades,greedy,12,lost,3554,16,0,23,20,3,2,0,0
no-upgrades,builder,1,lost,1938,26,0,11,10,1,4,0,0
no-upgrades,builder,2,lost,26319,37,0,49,40,9,4,0,0
