scenario,policy,seed,status,totalScore,swaps,rerolls,coinsEarned,coinsSpent,coinsEnding,bestWaveCount,shuffles,cappedResolutions
baseline,greedy,1,lost,1276,16,0,2,0,2,3,0,0
baseline,greedy,2,lost,1234,18,0,6,0,6,3,0,0
baseline,greedy,3,won,1336,17,0,2,0,2,4,0,0
baseline,greedy,4,won,1357,14,0,3,0,3,2,0,0
baseline,greedy,5,won,1478,14,0,9,0,9,4,0,0
baseline,greedy,6,lost,1255,23,0,8,0,8,3,1,0
baseline,greedy,7,won,1587,20,0,8,0,8,3,0,0
baseline,greedy,8,won,1445,14,0,8,0,8,2,0,0
baseline,greedy,9,lost,659,15,0,2,0,2,3,1,0
baseline,greedy,10,won,1395,20,0,3,0,3,3,0,0
baseline,spender,1,lost,1276,16,0,2,0,2,3,0,0
baseline,spender,2,lost,1144,18,1,6,3,3,2,0,0
baseline,spender,3,won,1336,17,0,2,0,2,4,0,0
baseline,spender,4,won,1357,14,0,3,0,3,2,0,0
baseline,spender,5,won,1504,13,2,7,6,1,4,0,0
baseline,spender,6,lost,1240,22,2,8,6,2,4,0,0
baseline,spender,7,won,1379,21,3,10,9,1,4,0,0
baseline,spender,8,won,1399,13,1,4,3,1,3,0,0
baseline,spender,9,lost,659,15,0,2,0,2,3,1,0
baseline,spender,10,won,1404,20,1,3,3,0,2,0,0
