scenario,policy,seed,status,totalScore,swaps,rerolls,coinsEarned,coinsSpent,coinsEnding,bestWaveCount,shuffles,cappedResolutions
baseline,greedy,1,won,1564,14,0,4,0,4,3,0,0
baseline,greedy,2,lost,1237,16,0,5,0,5,3,0,0
baseline,greedy,3,won,1390,21,0,1,0,1,4,0,0
baseline,greedy,4,won,1629,18,0,1,0,1,4,0,0
baseline,greedy,5,won,1448,18,0,6,0,6,3,0,0
baseline,greedy,6,won,1600,23,0,6,0,6,3,0,0
baseline,greedy,7,won,1595,8,0,3,0,3,3,0,0
baseline,greedy,8,lost,1218,16,0,3,0,3,4,0,0
baseline,greedy,9,won,1370,25,0,5,0,5,4,0,0
baseline,greedy,10,won,1396,22,0,1,0,1,3,0,0
baseline,greedy,11,lost,1112,22,0,8,0,8,3,0,0
baseline,greedy,12,lost,1446,22,0,6,0,6,3,0,0
baseline,greedy,13,lost,1327,25,0,5,0,5,3,0,0
baseline,greedy,14,lost,1336,22,0,4,0,4,3,0,0
baseline,greedy,15,lost,1120,17,0,4,0,4,3,0,0
baseline,greedy,16,won,1520,12,0,3,0,3,2,0,0
baseline,greedy,17,lost,690,12,0,2,0,2,3,0,0
baseline,greedy,18,lost,1462,18,0,2,0,2,3,0,0
baseline,greedy,19,won,1356,22,0,5,0,5,3,0,0
baseline,greedy,20,lost,1488,15,0,3,0,3,3,0,0
baseline,greedy,21,lost,1217,20,0,2,0,2,3,0,0
baseline,greedy,22,won,1479,23,0,2,0,2,4,0,0
baseline,greedy,23,lost,1480,15,0,2,0,2,5,0,0
baseline,greedy,24,lost,1334,20,0,3,0,3,3,0,0
baseline,greedy,25,lost,483,16,0,4,0,4,2,0,0
baseline,greedy,26,won,1407,13,0,4,0,4,4,0,0
baseline,greedy,27,won,1379,27,0,0,0,0,3,0,0
baseline,greedy,28,lost,1178,18,0,3,0,3,2,0,0
baseline,greedy,29,won,1551,16,0,9,0,9,3,0,0
baseline,greedy,30,lost,961,27,0,3,0,3,2,0,0
baseline,greedy,31,lost,1349,24,0,1,0,1,3,1,0
baseline,greedy,32,lost,1138,23,0,5,0,5,3,0,0
baseline,greedy,33,won,1383,15,0,6,0,6,3,0,0
baseline,greedy,34,lost,597,14,0,1,0,1,3,0,0
baseline,greedy,35,lost,589,11,0,1,0,1,2,0,0
baseline,greedy,36,won,1681,10,0,5,0,5,7,0,0
baseline,greedy,37,won,1500,16,0,5,0,5,3,0,0
baseline,greedy,38,lost,1257,17,0,1,0,1,2,0,0
baseline,greedy,39,won,1416,14,0,6,0,6,3,0,0
baseline,greedy,40,lost,678,12,0,1,0,1,2,0,0
