scenario,policy,seed,status,totalScore,swaps,rerolls,coinsEarned,coinsSpent,coinsEnding,bestWaveCount,shuffles,cappedResolutions
baseline,random,1,lost,593,14,0,1,0,1,3,0,0
baseline,random,2,lost,491,15,0,2,0,2,3,0,0
baseline,random,3,lost,1093,22,0,3,0,3,4,0,0
baseline,random,4,lost,1234,29,0,3,0,3,2,0,0
baseline,random,5,lost,211,10,0,1,0,1,2,0,0
baseline,random,6,lost,159,10,0,2,0,2,2,0,0
baseline,random,7,lost,585,12,0,2,0,2,2,0,0
baseline,random,8,lost,1185,21,0,6,0,6,3,0,0
baseline,random,9,lost,618,18,0,1,0,1,3,0,0
baseline,random,10,lost,590,20,0,2,0,2,3,1,0
baseline,random,11,lost,1096,24,0,7,0,7,3,0,0
baseline,random,12,lost,182,10,0,3,0,3,1,0,0
baseline,random,13,lost,223,10,0,3,0,3,3,0,0
baseline,random,14,lost,646,16,0,4,0,4,3,0,0
baseline,random,15,lost,938,23,0,4,0,4,3,0,0
baseline,random,16,won,1346,18,0,2,0,2,3,0,0
baseline,random,17,lost,247,10,0,0,0,0,2,0,0
baseline,random,18,lost,1170,27,0,3,0,3,3,0,0
baseline,random,19,lost,610,16,0,2,0,2,3,0,0
baseline,random,20,lost,1171,24,0,5,0,5,3,0,0
baseline,random,21,lost,193,10,0,1,0,1,1,0,0
baseline,random,22,lost,239,10,0,2,0,2,3,0,0
baseline,random,23,lost,512,14,0,0,0,0,3,1,0
baseline,random,24,lost,218,10,0,0,0,0,2,1,0
baseline,random,25,lost,1001,28,0,7,0,7,4,0,0
baseline,random,26,lost,1223,25,0,4,0,4,4,0,0
baseline,random,27,lost,192,10,0,0,0,0,3,0,0
baseline,random,28,lost,205,10,0,0,0,0,2,0,0
baseline,random,29,lost,220,10,0,3,0,3,2,0,0
baseline,random,30,lost,649,15,0,2,0,2,3,0,0
baseline,random,31,lost,1109,29,0,3,0,3,3,0,0
baseline,random,32,lost,966,26,0,3,0,3,5,0,0
baseline,random,33,won,1340,27,0,7,0,7,3,0,0
baseline,random,34,lost,551,14,0,3,0,3,2,0,0
baseline,random,35,lost,678,15,0,1,0,1,2,0,0
baseline,random,36,lost,1110,26,0,4,0,4,3,1,0
baseline,random,37,lost,1281,22,0,5,0,5,3,0,0
baseline,random,38,lost,1491,20,0,3,0,3,4,0,0
baseline,random,39,lost,171,10,0,5,0,5,2,0,0
baseline,random,40,lost,467,18,0,1,0,1,3,0,0
baseline,random,41,lost,574,14,0,2,0,2,3,0,0
baseline,random,42,lost,1330,26,0,5,0,5,3,0,0
baseline,random,43,lost,1238,24,0,1,0,1,5,0,0
baseline,random,44,lost,1155,24,0,7,0,7,3,0,0
baseline,random,45,lost,135,10,0,1,0,1,2,0,0
baseline,random,46,lost,987,19,0,6,0,6,3,0,0
baseline,random,47,lost,696,14,0,4,0,4,5,0,0
baseline,random,48,lost,573,19,0,1,0,1,3,1,0
baseline,random,49,lost,607,19,0,1,0,1,4,1,0
baseline,random,50,lost,193,10,0,2,0,2,2,0,0
baseline,greedy,1,won,1564,14,0,4,0,4,3,0,0
