scenario,policy,seed,status,totalScore,swaps,taps,rerolls,coinsEarned,coinsSpent,coinsEnding,bestWaveCount,shuffles,cappedResolutions
baseline,random,1,lost,825,7,8,0,1,0,1,4,0,0
baseline,random,2,lost,648,6,8,0,2,0,2,3,0,0
baseline,random,3,lost,713,8,9,0,2,0,2,3,0,0
baseline,random,4,lost,1382,12,11,0,5,0,5,4,0,0
baseline,random,5,lost,228,9,1,0,1,0,1,3,0,0
baseline,random,6,lost,691,15,4,0,3,0,3,3,0,0
baseline,random,7,lost,1034,14,8,0,7,0,7,3,0,0
baseline,random,8,lost,1230,5,14,0,6,0,6,4,0,0
baseline,random,9,lost,646,12,5,0,1,0,1,2,0,0
baseline,random,10,lost,243,7,3,0,1,0,1,2,0,0
baseline,random,11,lost,537,7,7,0,5,0,5,2,0,0
baseline,random,12,lost,1207,14,14,0,5,0,5,4,0,0
baseline,random,13,lost,1268,9,16,0,5,0,5,3,0,0
baseline,random,14,lost,642,5,11,0,3,0,3,2,0,0
baseline,random,15,won,1471,6,17,0,8,0,8,4,0,0
baseline,random,16,won,1405,8,13,0,3,0,3,3,0,0
baseline,random,17,lost,525,11,5,0,1,0,1,3,0,0
baseline,random,18,lost,1368,16,12,0,2,0,2,4,0,0
baseline,random,19,lost,1077,13,13,0,4,0,4,4,0,0
baseline,random,20,lost,516,7,8,0,2,0,2,2,0,0
baseline,random,21,lost,584,7,8,0,2,0,2,2,0,0
baseline,random,22,lost,201,6,4,0,2,0,2,2,0,0
baseline,random,23,lost,1002,16,10,0,2,0,2,2,0,0
baseline,random,24,lost,201,8,2,0,0,0,0,1,0,0
baseline,random,25,won,1369,9,15,0,9,0,9,3,0,0
baseline,random,26,lost,648,8,8,0,2,0,2,4,0,0
baseline,random,27,lost,229,6,4,0,0,0,0,2,0,0
baseline,random,28,lost,1198,17,10,0,4,0,4,3,0,0
baseline,random,29,lost,1082,12,10,0,6,0,6,4,0,0
baseline,random,30,lost,614,13,5,0,1,0,1,2,1,0
baseline,random,31,lost,1367,14,9,0,2,0,2,3,0,0
baseline,random,32,lost,1035,7,14,0,7,0,7,2,0,0
baseline,random,33,lost,1281,12,14,0,6,0,6,4,0,0
baseline,random,34,lost,1035,11,14,0,4,0,4,3,0,0
baseline,random,35,lost,626,9,5,0,1,0,1,2,0,0
baseline,random,36,lost,1098,10,11,0,4,0,4,3,0,0
baseline,random,37,lost,1308,5,12,0,5,0,5,3,0,0
baseline,random,38,lost,1166,14,13,0,4,0,4,3,0,0
baseline,random,39,lost,1264,12,12,0,6,0,6,5,0,0
baseline,random,40,lost,1382,9,13,0,3,0,3,3,0,0
baseline,greedy,1,lost,1354,9,12,0,3,0,3,2,0,0
baseline,greedy,2,won,1456,4,13,0,6,0,6,3,0,0
baseline,greedy,3,won,1447,3,16,0,2,0,2,3,0,0
baseline,greedy,4,won,1410,1,18,0,5,0,5,3,0,0
baseline,greedy,5,won,1323,2,18,0,10,0,10,4,0,0
baseline,greedy,6,won,1377,8,13,0,9,0,9,3,0,0
baseline,greedy,7,won,1486,2,14,0,4,0,4,3,0,0
baseline,greedy,8,won,1562,1,12,0,7,0,7,3,0,0
baseline,greedy,9,lost,1360,10,12,0,2,0,2,3,0,0
baseline,greedy,10,won,1457,10,15,0,2,0,2,3,0,0
baseline,greedy,11,lost,1249,6,13,0,6,0,6,3,0,0
baseline,greedy,12,lost,1153,5,11,0,8,0,8,4,0,0
baseline,greedy,13,lost,1325,5,18,0,4,0,4,2,0,0
baseline,greedy,14,lost,1187,9,13,0,8,0,8,4,0,0
baseline,greedy,15,lost,1263,4,18,0,10,0,10,2,0,0
baseline,greedy,16,won,1429,3,13,0,3,0,3,4,0,0
baseline,greedy,17,lost,1384,3,18,0,5,0,5,3,0,0
baseline,greedy,18,lost,1172,6,14,0,3,0,3,3,0,0
baseline,greedy,19,won,1354,6,16,0,5,0,5,4,0,0
baseline,greedy,20,lost,1325,3,13,0,5,0,5,4,0,0
baseline,greedy,21,won,1326,5,14,0,3,0,3,4,0,0
baseline,greedy,22,won,1412,3,15,0,5,0,5,4,0,0
baseline,greedy,23,lost,1313,5,14,0,4,0,4,5,0,0
baseline,greedy,24,won,1633,5,15,0,3,0,3,5,0,0
baseline,greedy,25,won,1387,0,16,0,8,0,8,4,0,0
baseline,greedy,26,lost,1152,3,17,0,3,0,3,3,0,0
baseline,greedy,27,lost,1102,10,14,0,3,0,3,4,0,0
baseline,greedy,28,won,1370,2,12,0,6,0,6,5,0,0
baseline,greedy,29,lost,1354,8,14,0,9,0,9,3,0,0
