scenario,policy,seed,status,totalScore,swaps,rerolls,coinsEarned,coinsSpent,coinsEnding,bestWaveCount,shuffles,cappedResolutions
baseline,random,1001,lost,35446,37,0,87,25,62,2,0,0
baseline,random,1002,lost,2813,23,0,25,10,15,4,0,0
baseline,random,1003,lost,34950,42,0,78,25,53,2,0,0
baseline,random,1004,lost,35862,33,0,132,25,107,2,0,0
baseline,random,1005,lost,34060,36,0,54,25,29,2,0,0
baseline,random,1006,lost,33484,31,0,97,25,72,2,0,0
baseline,random,1007,lost,219,10,0,0,0,0,2,0,0
baseline,random,1008,lost,33442,38,0,146,25,121,4,0,0
baseline,random,1009,lost,38016,29,0,91,25,66,4,0,0
baseline,random,1010,lost,34490,47,0,129,25,104,4,0,0
baseline,random,1011,lost,19883,25,0,43,20,23,3,0,0
baseline,random,1012,lost,32364,38,0,120,25,95,3,0,0
baseline,random,1013,lost,31755,39,0,134,25,109,2,0,0
baseline,random,1014,lost,28965,46,0,140,25,115,3,0,0
baseline,random,1015,lost,35046,31,0,117,25,92,2,0,0
baseline,random,1016,lost,35617,34,0,97,25,72,2,0,0
baseline,random,1017,won,38777,36,0,98,25,73,2,0,0
baseline,random,1018,lost,874,13,0,9,5,4,2,0,0
baseline,random,1019,lost,34885,38,0,133,25,108,3,0,0
baseline,random,1020,won,37457,28,0,161,25,136,2,0,0
baseline,greedy,1001,won,40405,28,0,34,25,9,5,0,0
baseline,greedy,1002,won,35799,25,0,34,25,9,3,0,0
baseline,greedy,1003,won,37842,29,0,34,25,9,2,0,0
baseline,greedy,1004,lost,37070,28,0,34,25,9,2,0,0
baseline,greedy,1005,won,37326,25,0,35,25,10,2,0,0
baseline,greedy,1006,won,37049,29,0,34,25,9,2,0,0
baseline,greedy,1007,lost,37227,32,0,33,25,8,3,0,0
baseline,greedy,1008,won,40821,27,0,34,25,9,3,0,0
baseline,greedy,1009,lost,34446,26,0,34,25,9,3,0,0
baseline,greedy,1010,lost,34074,26,0,35,25,10,3,0,0
baseline,greedy,1011,lost,35906,26,0,34,25,9,3,0,0
baseline,greedy,1012,lost,35739,27,0,34,25,9,2,0,0
baseline,greedy,1013,lost,36119,25,0,35,25,10,3,0,0
baseline,greedy,1014,lost,35879,25,0,35,25,10,2,0,0
baseline,greedy,1015,lost,36394,26,0,35,25,10,2,0,0
baseline,greedy,1016,won,37949,22,0,35,25,10,3,0,0
baseline,greedy,1017,won,36478,30,0,33,25,8,2,0,0
baseline,greedy,1018,won,36156,31,0,33,25,8,2,0,0
baseline,greedy,1019,won,40361,22,0,35,25,10,4,0,0
baseline,greedy,1020,won,35622,28,0,33,25,8,2,0,0
baseline,spender,1001,won,35193,33,55,198,190,8,4,0,0
baseline,spender,1002,won,36507,29,59,217,202,15,3,0,0
baseline,spender,1003,won,37388,29,60,216,205,11,3,0,0
baseline,spender,1004,won,37929,33,63,227,214,13,2,0,0
baseline,spender,1005,won,37595,33,58,211,199,12,3,0,0
baseline,spender,1006,lost,34565,33,56,205,193,12,3,0,0
baseline,spender,1007,won,37386,31,66,231,223,8,4,0,0
baseline,spender,1008,won,36829,34,55,198,190,8,3,0,0
baseline,spender,1009,won,35714,30,68,237,229,8,3,0,0
baseline,spender,1010,lost,11259,17,13,56,54,2,2,0,0
baseline,spender,1011,won,35110,33,47,173,166,7,4,0,0
baseline,spender,1012,won,36426,37,51,185,178,7,2,0,0
baseline,spender,1013,won,38507,26,52,193,181,12,5,0,0
baseline,spender,1014,won,34491,31,49,184,172,12,3,0,0
baseline,spender,1015,won,38380,29,62,223,211,12,3,0,0
baseline,spender,1016,won,37595,28,52,189,181,8,3,0,0
baseline,spender,1017,won,35742,25,46,169,163,6,5,0,0
baseline,spender,1018,won,36351,28,64,227,217,10,3,0,0
baseline,spender,1019,won,36232,30,44,168,157,11,2,0,0
baseline,spender,1020,won,37555,34,65,234,220,14,2,1,0
baseline,rollout,1001,won,36728,27,3,35,34,1,4,0,0
baseline,rollout,1002,won,34544,25,3,34,34,0,3,0,0
baseline,rollout,1003,won,35776,26,3,34,34,0,3,0,0
baseline,rollout,1004,lost,32758,29,3,34,34,0,2,0,0
baseline,rollout,1005,won,35438,28,3,35,34,1,3,0,0
baseline,rollout,1006,lost,34190,30,2,33,31,2,2,0,0
baseline,rollout,1007,lost,31611,31,2,33,31,2,3,0,0
baseline,rollout,1008,won,38186,28,3,34,34,0,3,0,0
baseline,rollout,1009,won,36076,25,3,34,34,0,4,0,0
baseline,rollout,1010,lost,33174,26,3,35,34,1,2,0,0
baseline,rollout,1011,won,37814,24,3,34,34,0,5,0,0
baseline,rollout,1012,lost,36516,29,2,33,31,2,3,0,0
baseline,rollout,1013,lost,34152,25,3,35,34,1,3,0,0
baseline,rollout,1014,won,37113,32,2,32,31,1,3,0,0
baseline,rollout,1015,lost,33295,30,3,34,34,0,2,0,0
baseline,rollout,1016,won,35656,24,3,35,34,1,4,0,0
baseline,rollout,1017,lost,35547,29,3,34,34,0,2,0,0
baseline,rollout,1018,lost,32425,24,3,35,34,1,3,0,0
baseline,rollout,1019,won,36888,25,3,35,34,1,5,0,0
baseline,rollout,1020,won,38710,29,3,34,34,0,3,0,0
