scenario,policy,seed,status,totalScore,swaps,rerolls,coinsEarned,coinsSpent,coinsEnding,bestWaveCount,shuffles,cappedResolutions
candidate,greedy,1,won,48033,33,0,55,54,1,3,0,0
candidate,greedy,2,won,39053,29,0,57,50,7,3,0,0
candidate,greedy,3,won,41563,32,0,56,50,6,3,0,0
candidate,greedy,4,won,38920,40,0,53,46,7,3,0,0
candidate,greedy,5,won,34300,35,0,54,50,4,3,0,0
candidate,greedy,6,lost,40763,41,0,54,50,4,3,0,0
candidate,greedy,7,won,37249,21,0,59,46,13,2,0,0
candidate,greedy,8,won,40977,26,0,57,50,7,4,0,0
candidate,greedy,9,won,39921,35,0,55,50,5,4,0,0
candidate,greedy,10,won,37144,33,0,56,50,6,3,0,0
candidate,greedy,11,won,36990,40,0,54,46,8,3,0,0
candidate,greedy,12,won,41797,22,0,59,46,13,3,0,0
candidate,greedy,13,won,38583,33,0,55,50,5,2,0,0
candidate,greedy,14,won,36303,27,0,58,46,12,3,0,0
candidate,greedy,15,won,39123,30,0,56,46,10,2,1,0
candidate,greedy,16,won,36337,33,0,54,54,0,2,0,0
candidate,greedy,17,won,37270,30,0,57,46,11,3,0,0
candidate,greedy,18,won,38997,30,0,55,50,5,3,0,0
candidate,greedy,19,won,41154,27,0,57,46,11,4,0,0
candidate,greedy,20,won,41156,40,0,54,46,8,4,0,0
candidate,greedy,21,won,49746,24,0,58,46,12,3,0,0
candidate,greedy,22,won,38468,33,0,55,46,9,3,0,0
candidate,greedy,23,won,39829,27,0,57,50,7,2,0,0
candidate,greedy,24,won,50885,22,0,58,50,8,3,0,0
candidate,greedy,25,won,41440,27,0,56,50,6,2,0,0
candidate,greedy,26,won,39330,29,0,55,50,5,3,0,0
candidate,greedy,27,won,37382,40,0,53,50,3,3,0,0
candidate,greedy,28,won,41120,24,0,59,46,13,3,0,0
candidate,greedy,29,won,46522,29,0,56,50,6,3,0,0
candidate,greedy,30,won,47964,22,0,57,50,7,3,0,0
candidate,builder,1,lost,17475,43,0,37,32,5,4,0,0
candidate,builder,2,lost,13116,29,0,33,28,5,5,0,0
candidate,builder,3,lost,35234,47,0,51,40,11,3,0,0
candidate,builder,4,won,37128,38,0,54,40,14,3,0,0
candidate,builder,5,won,41266,28,0,55,44,11,3,0,0
candidate,builder,6,won,37008,35,0,55,44,11,2,0,0
candidate,builder,7,lost,3888,26,0,18,15,3,3,0,0
candidate,builder,8,won,48702,40,0,53,40,13,4,0,0
candidate,builder,9,won,44811,33,0,56,40,16,4,0,0
candidate,builder,10,won,36248,57,0,47,40,7,3,0,0
candidate,builder,11,lost,13742,22,0,36,28,8,4,0,0
candidate,builder,12,lost,15442,21,0,36,32,4,3,0,0
candidate,builder,13,lost,29922,54,0,41,32,9,4,0,0
candidate,builder,14,won,41144,38,0,55,40,15,4,0,0
candidate,builder,15,lost,12722,33,0,32,28,4,5,1,0
candidate,builder,16,won,39378,50,0,49,40,9,3,1,0
candidate,builder,17,won,37912,37,0,53,44,9,5,0,0
candidate,builder,18,won,41424,44,0,51,40,11,3,0,0
candidate,builder,19,won,56982,30,0,56,40,16,6,0,0
candidate,builder,20,lost,5323,22,0,20,20,0,3,0,0
candidate,builder,21,lost,3911,20,0,21,20,1,3,1,0
candidate,builder,22,won,44876,36,0,54,44,10,3,0,0
candidate,builder,23,won,37022,49,0,50,40,10,3,0,0
candidate,builder,24,won,49376,41,0,54,40,14,4,0,0
candidate,builder,25,lost,22746,38,0,40,32,8,6,1,0
candidate,builder,26,won,45533,29,0,56,44,12,4,0,0
candidate,builder,27,won,47653,46,0,50,40,10,3,0,0
candidate,builder,28,won,47290,26,0,58,44,14,4,0,0
candidate,builder,29,lost,26448,48,0,45,36,9,3,1,0
candidate,builder,30,lost,18755,36,0,40,32,8,2,0,0
candidate,specialist,1,won,39012,25,0,57,35,22,3,0,0
candidate,specialist,2,won,39099,22,0,58,35,23,3,0,0
candidate,specialist,3,won,37771,19,0,60,35,25,3,0,0
candidate,specialist,4,won,41224,21,0,58,35,23,3,0,0
candidate,specialist,5,won,43006,26,0,57,35,22,3,0,0
candidate,specialist,6,won,38815,25,0,57,35,22,2,0,0
candidate,specialist,7,won,41955,22,0,58,35,23,2,0,0
candidate,specialist,8,won,43060,24,0,57,35,22,4,0,0
candidate,specialist,9,won,41205,20,0,59,35,24,4,0,0
candidate,specialist,10,won,39585,23,0,57,35,22,3,0,0
candidate,specialist,11,won,39361,21,0,59,35,24,3,0,0
candidate,specialist,12,won,39168,19,0,60,35,25,3,0,0
candidate,specialist,13,won,40099,25,0,57,35,22,2,0,0
candidate,specialist,14,won,37968,24,0,58,35,23,2,0,0
candidate,specialist,15,won,38286,30,0,57,35,22,2,1,0
candidate,specialist,16,won,40572,26,0,56,35,21,2,0,0
candidate,specialist,17,won,38542,25,0,58,35,23,3,0,0
candidate,specialist,18,won,38342,27,0,57,35,22,2,0,0
candidate,specialist,19,won,41634,23,0,59,35,24,4,0,0
candidate,specialist,20,won,39584,27,0,58,35,23,3,0,0
candidate,specialist,21,won,42879,24,0,58,35,23,3,0,0
candidate,specialist,22,won,43486,24,0,59,35,24,3,0,0
candidate,specialist,23,won,40363,22,0,59,35,24,2,0,0
candidate,specialist,24,won,38102,22,0,59,35,24,3,0,0
candidate,specialist,25,won,43249,24,0,57,35,22,2,0,0
candidate,specialist,26,won,37649,27,0,56,35,21,2,0,0
candidate,specialist,27,won,39534,24,0,58,35,23,3,0,0
candidate,specialist,28,won,40916,18,0,60,35,25,3,0,0
candidate,specialist,29,won,40942,19,0,58,35,23,3,0,0
candidate,specialist,30,won,45634,30,0,56,35,21,2,0,0
