scenario,policy,seed,status,totalScore,swaps,rerolls,coinsEarned,coinsSpent,coinsEnding,bestWaveCount,shuffles,cappedResolutions
baseline,greedy,1,won,56051,40,0,53,50,3,4,0,0
baseline,greedy,2,lost,54349,40,0,53,50,3,3,0,0
baseline,greedy,3,lost,50195,41,0,53,50,3,3,0,0
baseline,greedy,4,lost,21061,31,0,41,38,3,3,0,0
baseline,greedy,5,lost,25075,27,0,41,41,0,2,0,0
baseline,greedy,6,lost,23049,32,0,41,41,0,2,0,0
baseline,greedy,7,lost,51787,39,0,55,46,9,2,0,0
baseline,greedy,8,lost,53718,55,0,49,46,3,4,0,0
baseline,greedy,9,lost,32400,35,0,47,42,5,4,0,0
baseline,greedy,10,won,58429,46,0,52,50,2,4,0,0
baseline,greedy,11,lost,25945,31,0,42,38,4,3,0,0
baseline,greedy,12,lost,52479,37,0,55,46,9,3,0,0
baseline,greedy,13,lost,38731,40,0,45,41,4,3,0,0
baseline,greedy,14,lost,15860,26,0,35,33,2,3,0,0
baseline,greedy,15,lost,38401,48,0,44,42,2,4,1,0
baseline,greedy,16,lost,25081,35,0,40,38,2,4,0,0
baseline,greedy,17,won,56143,44,0,55,46,9,3,0,0
baseline,greedy,18,lost,38023,32,0,48,46,2,3,0,0
baseline,greedy,19,lost,38717,39,0,47,42,5,4,0,0
baseline,greedy,20,lost,45110,53,0,52,46,6,4,0,0
baseline,greedy,21,won,56246,40,0,54,46,8,3,0,0
baseline,greedy,22,lost,23743,27,0,43,42,1,3,0,0
baseline,greedy,23,lost,46932,42,0,53,50,3,3,0,0
baseline,greedy,24,lost,35469,36,0,47,42,5,3,0,0
baseline,greedy,25,won,52393,47,0,52,46,6,2,0,0
baseline,greedy,26,lost,34584,39,0,46,42,4,3,0,0
baseline,greedy,27,lost,35555,36,0,46,42,4,3,0,0
baseline,greedy,28,lost,49185,34,0,57,46,11,3,0,0
baseline,greedy,29,lost,37180,43,0,45,42,3,3,0,0
baseline,greedy,30,lost,40741,31,0,49,46,3,2,0,0
baseline,builder,1,lost,989,16,0,6,5,1,3,1,0
baseline,builder,2,lost,13799,33,0,32,28,4,4,0,0
baseline,builder,3,lost,12596,25,0,36,28,8,4,0,0
baseline,builder,4,lost,14862,38,0,32,28,4,4,0,0
baseline,builder,5,lost,7490,25,0,26,24,2,3,0,0
baseline,builder,6,lost,19837,38,0,31,28,3,6,0,0
baseline,builder,7,lost,5866,22,0,19,19,0,5,0,0
baseline,builder,8,lost,4989,30,0,18,15,3,4,0,0
baseline,builder,9,lost,14586,35,0,33,28,5,4,0,0
baseline,builder,10,lost,5287,20,0,20,19,1,3,0,0
baseline,builder,11,lost,2731,15,0,15,15,0,3,0,0
baseline,builder,12,lost,2236,17,0,13,10,3,3,0,0
baseline,builder,13,lost,827,12,0,7,5,2,2,0,0
baseline,builder,14,lost,9067,17,0,31,24,7,3,0,0
baseline,builder,15,lost,8957,30,0,25,24,1,5,1,0
baseline,builder,16,lost,8321,29,0,26,24,2,3,0,0
baseline,builder,17,lost,10558,30,0,25,24,1,5,0,0
baseline,builder,18,lost,1722,19,0,13,10,3,2,0,0
baseline,builder,19,lost,9852,25,0,27,24,3,4,0,0
baseline,builder,20,lost,5698,17,0,22,20,2,3,0,0
baseline,builder,21,lost,8136,29,0,26,24,2,3,1,0
baseline,builder,22,lost,9188,22,0,28,24,4,3,0,0
baseline,builder,23,lost,13061,29,0,25,24,1,4,0,0
baseline,builder,24,lost,2092,12,0,16,15,1,3,0,0
baseline,builder,25,lost,18508,36,0,31,28,3,6,0,0
baseline,builder,26,lost,24781,36,0,39,32,7,6,0,0
baseline,builder,27,lost,8800,25,0,27,24,3,3,0,0
baseline,builder,28,lost,7667,32,0,26,24,2,4,0,0
baseline,builder,29,lost,12164,38,0,32,28,4,3,0,0
baseline,builder,30,lost,3898,29,0,18,15,3,2,0,0
baseline,specialist,1,lost,25542,28,0,41,30,11,3,0,0
baseline,specialist,2,lost,23456,23,0,44,30,14,3,0,0
baseline,specialist,3,lost,36143,31,0,49,34,15,3,0,0
baseline,specialist,4,lost,24519,24,0,43,30,13,3,0,0
baseline,specialist,5,lost,26439,25,0,42,30,12,3,0,0
baseline,specialist,6,lost,36750,37,0,46,34,12,2,0,0
baseline,specialist,7,lost,22389,24,0,43,30,13,2,0,0
